"Depth_meter","Water_Temperature_celsius","datetime"
0.3,18.3861720478953,2021-07-20 20:10:35
0.25,18.6318839144027,2021-07-20 20:10:35
0.2,18.6424169917883,2021-07-20 20:10:35
0.15,18.6829733510183,2021-07-20 20:10:35
0.1,18.6740041986209,2021-07-20 20:10:35
0.05,18.8534365954265,2021-07-20 20:10:35
0.3,18.492482955731,2021-07-20 20:10:45
0.25,18.8042267174227,2021-07-20 20:10:45
0.2,18.8155655563342,2021-07-20 20:10:45
0.15,18.8806267535094,2021-07-20 20:10:45
0.1,19.009022251361,2021-07-20 20:10:45
0.05,19.4329170413009,2021-07-20 20:10:45
0.3,18.5863310851529,2021-07-20 20:10:55
0.25,19.0466372810335,2021-07-20 20:10:55
0.2,19.1009852342545,2021-07-20 20:10:55
0.15,19.1012114791924,2021-07-20 20:10:55
0.1,19.1216669645678,2021-07-20 20:10:55
0.05,19.6586884159972,2021-07-20 20:10:55
0.3,18.6821772466774,2021-07-20 20:11:05
0.25,19.1924428167739,2021-07-20 20:11:05
0.2,19.2337489563778,2021-07-20 20:11:05
0.15,19.2544564919759,2021-07-20 20:11:05
0.1,19.3445215385634,2021-07-20 20:11:05
0.05,19.9280429898977,2021-07-20 20:11:05
0.3,18.7897243603828,2021-07-20 20:11:15
0.25,19.3423265160819,2021-07-20 20:11:15
0.2,19.3779261084429,2021-07-20 20:11:15
0.15,19.4157406151674,2021-07-20 20:11:15
0.1,19.5408159200542,2021-07-20 20:11:15
0.05,20.0867542852176,2021-07-20 20:11:15
0.3,18.904561000452,2021-07-20 20:11:25
0.25,19.454346729664,2021-07-20 20:11:25
0.2,19.4965602107297,2021-07-20 20:11:25
0.15,19.5189675086345,2021-07-20 20:11:25
0.1,19.6258844546451,2021-07-20 20:11:25
0.05,20.0967632296643,2021-07-20 20:11:25
0.3,19.1184394438733,2021-07-20 20:11:35
0.25,19.7514756307374,2021-07-20 20:11:35
0.2,19.8010149555732,2021-07-20 20:11:35
0.15,19.8327671268391,2021-07-20 20:11:35
0.1,19.9115436890591,2021-07-20 20:11:35
0.05,20.1700202095989,2021-07-20 20:11:35
0.3,19.2339267312905,2021-07-20 20:11:45
0.25,19.9190859921461,2021-07-20 20:11:45
0.2,19.9333039813668,2021-07-20 20:11:45
0.15,20.0213178633537,2021-07-20 20:11:45
0.1,20.1770837119046,2021-07-20 20:11:45
0.05,20.5918924219861,2021-07-20 20:11:45
0.3,19.4101332412923,2021-07-20 20:11:55
0.25,20.0986856419194,2021-07-20 20:11:55
0.2,20.1490711162054,2021-07-20 20:11:55
0.15,20.2005018788743,2021-07-20 20:11:55
0.1,20.3685115344543,2021-07-20 20:11:55
0.05,20.8150860215145,2021-07-20 20:11:55
0.3,19.5836808569111,2021-07-20 20:12:05
0.25,20.3066572709915,2021-07-20 20:12:05
0.2,20.3506863912244,2021-07-20 20:12:05
0.15,20.4031978649551,2021-07-20 20:12:05
0.1,20.7841585662902,2021-07-20 20:12:05
0.05,21.3188051631762,2021-07-20 20:12:05
0.3,19.7567147894284,2021-07-20 20:12:15
0.25,20.532201723688,2021-07-20 20:12:15
0.2,20.5794030933749,2021-07-20 20:12:15
0.15,20.6390894482261,2021-07-20 20:12:15
0.1,21.0808467909864,2021-07-20 20:12:15
0.05,21.6308905701235,2021-07-20 20:12:15
0.3,19.92594386743,2021-07-20 20:12:25
0.25,20.7253976243344,2021-07-20 20:12:25
0.2,20.7811479916923,2021-07-20 20:12:25
0.15,20.8510365750498,2021-07-20 20:12:25
0.1,21.3039317211515,2021-07-20 20:12:25
0.05,21.8128067727369,2021-07-20 20:12:25
0.3,20.1036073059053,2021-07-20 20:12:35
0.25,20.9574608244961,2021-07-20 20:12:35
0.2,21.0104288997888,2021-07-20 20:12:35
0.15,21.0678884272871,2021-07-20 20:12:35
0.1,21.3915438233558,2021-07-20 20:12:35
0.05,22.1347010492003,2021-07-20 20:12:35
0.3,20.2872111989713,2021-07-20 20:12:45
0.25,21.1767811888186,2021-07-20 20:12:45
0.2,21.2362242647953,2021-07-20 20:12:45
0.15,21.3116094237612,2021-07-20 20:12:45
0.1,21.5667357797124,2021-07-20 20:12:45
0.05,22.6016633990472,2021-07-20 20:12:45
0.3,20.4750998761902,2021-07-20 20:12:55
0.25,21.4176714455141,2021-07-20 20:12:55
0.2,21.4622262874698,2021-07-20 20:12:55
0.15,21.5338539854322,2021-07-20 20:12:55
0.1,21.8426946759583,2021-07-20 20:12:55
0.05,22.9011804092913,2021-07-20 20:12:55
0.3,20.6997805179001,2021-07-20 20:13:05
0.25,21.633245568792,2021-07-20 20:13:05
0.2,21.7090001651729,2021-07-20 20:13:05
0.15,21.7890808767168,2021-07-20 20:13:05
0.1,22.0757769362785,2021-07-20 20:13:05
0.05,23.2346173509866,2021-07-20 20:13:05
0.3,20.8910104750092,2021-07-20 20:13:15
0.25,21.881724039908,2021-07-20 20:13:15
0.2,21.9579751863801,2021-07-20 20:13:15
0.15,22.0975588508194,2021-07-20 20:13:15
0.1,22.607868339826,2021-07-20 20:13:15
0.05,23.4407058365345,2021-07-20 20:13:15
0.3,21.1325242089034,2021-07-20 20:13:25
0.25,22.1211730607212,2021-07-20 20:13:25
0.2,22.2287342643953,2021-07-20 20:13:25
0.15,22.391655657386,2021-07-20 20:13:25
0.1,23.1660668189613,2021-07-20 20:13:25
0.05,23.5859819144796,2021-07-20 20:13:25
0.3,21.4030806591208,2021-07-20 20:13:35
0.25,22.3714233586582,2021-07-20 20:13:35
0.2,22.4518076306127,2021-07-20 20:13:35
0.15,22.6086100119565,2021-07-20 20:13:35
0.1,23.1639514936091,2021-07-20 20:13:35
0.05,23.8759546553413,2021-07-20 20:13:35
0.3,21.6336020569655,2021-07-20 20:13:45
0.25,22.627623049133,2021-07-20 20:13:45
0.2,22.7004290113607,2021-07-20 20:13:45
0.15,22.8642696353865,2021-07-20 20:13:45
0.1,23.3613841338241,2021-07-20 20:13:45
0.05,23.9763454924044,2021-07-20 20:13:45
0.3,21.8136165664679,2021-07-20 20:13:55
0.25,22.8097765125063,2021-07-20 20:13:55
0.2,22.8914568987159,2021-07-20 20:13:55
0.15,23.0619813194422,2021-07-20 20:13:55
0.1,23.6020601477022,2021-07-20 20:13:55
0.05,24.3053155835656,2021-07-20 20:13:55
0.3,21.9111021796086,2021-07-20 20:14:05
0.25,22.9248703086851,2021-07-20 20:14:05
0.2,23.0149637179392,2021-07-20 20:14:05
0.15,23.2350898030808,2021-07-20 20:14:05
0.1,23.7092807263324,2021-07-20 20:14:05
0.05,24.2237490076618,2021-07-20 20:14:05
0.3,22.0834718155225,2021-07-20 20:14:15
0.25,23.0654313561861,2021-07-20 20:14:15
0.2,23.2196993114322,2021-07-20 20:14:15
0.15,23.5308437750528,2021-07-20 20:14:15
0.1,24.2437279483801,2021-07-20 20:14:15
0.05,24.5397418112021,2021-07-20 20:14:15
0.3,22.3295803680869,2021-07-20 20:14:25
0.25,23.3037285668593,2021-07-20 20:14:25
0.2,23.5030162882911,2021-07-20 20:14:25
0.15,23.8819255677034,2021-07-20 20:14:25
0.1,24.5892012414706,2021-07-20 20:14:25
0.05,24.8556007133741,2021-07-20 20:14:25
0.3,22.5542166409899,2021-07-20 20:14:35
0.25,23.538475237465,2021-07-20 20:14:35
0.2,23.6751591111378,2021-07-20 20:14:35
0.15,24.0046506136819,2021-07-20 20:14:35
0.1,24.7204572403367,2021-07-20 20:14:35
0.05,25.1729279920984,2021-07-20 20:14:35
0.3,22.6119261461189,2021-07-20 20:14:45
0.25,23.6888778470856,2021-07-20 20:14:45
0.2,23.8516704613866,2021-07-20 20:14:45
0.15,24.2131120075731,2021-07-20 20:14:45
0.1,24.7604396434992,2021-07-20 20:14:45
0.05,24.9729833931239,2021-07-20 20:14:45
0.3,22.7321392586889,2021-07-20 20:14:55
0.25,23.806176583446,2021-07-20 20:14:55
0.2,24.0346398929138,2021-07-20 20:14:55
0.15,24.5436632270652,2021-07-20 20:14:55
0.1,24.807570053529,2021-07-20 20:14:55
0.05,24.805161209919,2021-07-20 20:14:55
0.3,22.8079961115678,2021-07-20 20:15:05
0.25,23.8660035776952,2021-07-20 20:15:05
0.2,24.0772889771501,2021-07-20 20:15:05
0.15,24.4450008716009,2021-07-20 20:15:05
0.1,24.7836964383683,2021-07-20 20:15:05
0.05,24.8125331153007,2021-07-20 20:15:05
0.3,22.9099840927323,2021-07-20 20:15:15
0.25,23.9831786091532,2021-07-20 20:15:15
0.2,24.2406080538082,2021-07-20 20:15:15
0.15,24.5172349061587,2021-07-20 20:15:15
0.1,24.7970639386432,2021-07-20 20:15:15
0.05,24.9351019703581,2021-07-20 20:15:15
0.3,23.005743855386,2021-07-20 20:15:25
0.25,24.0968021148561,2021-07-20 20:15:25
0.2,24.3396981990236,2021-07-20 20:15:25
0.15,24.6065024516074,2021-07-20 20:15:25
0.1,24.8170173635802,2021-07-20 20:15:25
0.05,24.9609760209889,2021-07-20 20:15:25
0.3,23.1792220909432,2021-07-20 20:15:35
0.25,24.2559987530176,2021-07-20 20:15:35
0.2,24.5274133977235,2021-07-20 20:15:35
0.15,24.7932886211367,2021-07-20 20:15:35
0.1,24.9520339444316,2021-07-20 20:15:35
0.05,25.1087493870751,2021-07-20 20:15:35
0.3,23.3950069995551,2021-07-20 20:15:45
0.25,24.3976707888123,2021-07-20 20:15:45
0.2,24.6915430800507,2021-07-20 20:15:45
0.15,25.0692908537114,2021-07-20 20:15:45
0.1,25.1766915537042,2021-07-20 20:15:45
0.05,25.4176420618966,2021-07-20 20:15:45
0.3,23.5854104815538,2021-07-20 20:15:55
0.25,24.6004070314005,2021-07-20 20:15:55
0.2,24.9102279765089,2021-07-20 20:15:55
0.15,25.180716884423,2021-07-20 20:15:55
0.1,25.2927186086769,2021-07-20 20:15:55
0.05,25.697962871635,2021-07-20 20:15:55
0.3,23.7383411781828,2021-07-20 20:16:05
0.25,24.7663309763144,2021-07-20 20:16:05
0.2,25.0558875418269,2021-07-20 20:16:05
0.15,25.320439775056,2021-07-20 20:16:05
0.1,25.4898948868197,2021-07-20 20:16:05
0.05,25.9221021391975,2021-07-20 20:16:05
0.3,23.8888064344774,2021-07-20 20:16:15
0.25,24.9405864120563,2021-07-20 20:16:15
0.2,25.2298760814139,2021-07-20 20:16:15
0.15,25.4853872670711,2021-07-20 20:16:15
0.1,25.6989208806407,2021-07-20 20:16:15
0.05,26.1301621788498,2021-07-20 20:16:15
0.3,24.0305773913141,2021-07-20 20:16:25
0.25,25.1193697760696,2021-07-20 20:16:25
0.2,25.4093231000712,2021-07-20 20:16:25
0.15,25.649375976136,2021-07-20 20:16:25
0.1,25.8736562849964,2021-07-20 20:16:25
0.05,26.2617069605599,2021-07-20 20:16:25
0.3,24.0722228702052,2021-07-20 20:16:35
0.25,25.2612820952851,2021-07-20 20:16:35
0.2,25.5535248216102,2021-07-20 20:16:35
0.15,25.7991523111397,2021-07-20 20:16:35
0.1,26.0129438016012,2021-07-20 20:16:35
0.05,26.16044125715,2021-07-20 20:16:35
0.3,24.6204063551374,2021-07-20 20:16:45
0.25,25.6621977691536,2021-07-20 20:16:45
0.2,25.6991853280484,2021-07-20 20:16:45
0.15,25.7240035918895,2021-07-20 20:16:45
0.1,25.9182801781427,2021-07-20 20:16:45
0.05,26.0515088323938,2021-07-20 20:16:45
0.3,24.44971896253,2021-07-20 20:16:55
0.25,25.6373619000595,2021-07-20 20:16:55
0.2,25.8632146198578,2021-07-20 20:16:55
0.15,25.9769137353407,2021-07-20 20:16:55
0.1,26.0555002984115,2021-07-20 20:16:55
0.05,26.223721493449,2021-07-20 20:16:55
0.3,24.3285536174846,2021-07-20 20:17:05
0.25,25.6788515416677,2021-07-20 20:17:05
0.2,25.8731502255138,2021-07-20 20:17:05
0.15,25.9859319518731,2021-07-20 20:17:05
0.1,26.0054264054195,2021-07-20 20:17:05
0.05,25.9593788139453,2021-07-20 20:17:05
0.3,24.2451434422549,2021-07-20 20:17:15
0.25,25.7513639401096,2021-07-20 20:17:15
0.2,25.8094047158359,2021-07-20 20:17:15
0.15,25.8507227806741,2021-07-20 20:17:15
0.1,25.8612747021784,2021-07-20 20:17:15
0.05,25.8701053070869,2021-07-20 20:17:15
0.3,24.2696729304082,2021-07-20 20:17:25
0.25,25.7012839959717,2021-07-20 20:17:25
0.2,25.7087728480185,2021-07-20 20:17:25
0.15,25.7467238856908,2021-07-20 20:17:25
0.1,25.7701752575068,2021-07-20 20:17:25
0.05,25.7576457728669,2021-07-20 20:17:25
0.3,24.2237471321278,2021-07-20 20:17:35
0.25,25.5984995538165,2021-07-20 20:17:35
0.2,25.6055890023324,2021-07-20 20:17:35
0.15,25.6866805287186,2021-07-20 20:17:35
0.1,25.6832882697178,2021-07-20 20:17:35
0.05,25.6817473516409,2021-07-20 20:17:35
0.3,24.1796972302657,2021-07-20 20:17:45
0.25,25.5026280835376,2021-07-20 20:17:45
0.2,25.5582355149094,2021-07-20 20:17:45
0.15,25.6019884210018,2021-07-20 20:17:45
0.1,25.5496971158779,2021-07-20 20:17:45
0.05,25.5995830005767,2021-07-20 20:17:45
0.3,24.1296122785178,2021-07-20 20:17:55
0.25,25.3891934684492,2021-07-20 20:17:55
0.2,25.4426099919198,2021-07-20 20:17:55
0.15,25.4908350646652,2021-07-20 20:17:55
0.1,25.4841658364969,2021-07-20 20:17:55
0.05,25.4973190600891,2021-07-20 20:17:55
0.3,24.066301864969,2021-07-20 20:18:05
0.25,25.2647673053233,2021-07-20 20:18:05
0.2,25.3086881724036,2021-07-20 20:18:05
0.15,25.3842341789249,2021-07-20 20:18:05
0.1,25.3787797298471,2021-07-20 20:18:05
0.05,25.3658328621076,2021-07-20 20:18:05
0.3,24.0258201580195,2021-07-20 20:18:15
0.25,25.1767128123816,2021-07-20 20:18:15
0.2,25.2243595640548,2021-07-20 20:18:15
0.15,25.2594620323931,2021-07-20 20:18:15
0.1,25.2758790840567,2021-07-20 20:18:15
0.05,25.2980565949861,2021-07-20 20:18:15
0.3,23.9933342970007,2021-07-20 20:18:25
0.25,25.0610164583737,2021-07-20 20:18:25
0.2,25.1152501295181,2021-07-20 20:18:25
0.15,25.1473435003725,2021-07-20 20:18:25
0.1,25.1473163402101,2021-07-20 20:18:25
0.05,25.1528188925022,2021-07-20 20:18:25
0.3,23.9214175002954,2021-07-20 20:18:35
0.25,24.9342311716461,2021-07-20 20:18:35
0.2,24.9735600728552,2021-07-20 20:18:35
0.15,25.0038016367018,2021-07-20 20:18:35
0.1,24.9843731131141,2021-07-20 20:18:35
0.05,24.9658098083945,2021-07-20 20:18:35
0.3,23.8556146823933,2021-07-20 20:18:45
0.25,24.8140172400773,2021-07-20 20:18:45
0.2,24.8518357740242,2021-07-20 20:18:45
0.15,24.9021959960412,2021-07-20 20:18:45
0.1,24.8981646297085,2021-07-20 20:18:45
0.05,24.9011504107601,2021-07-20 20:18:45
0.3,23.7982514464264,2021-07-20 20:18:55
0.25,24.6838664353148,2021-07-20 20:18:55
0.2,24.7527137912749,2021-07-20 20:18:55
0.15,24.7548348854319,2021-07-20 20:18:55
0.1,24.7589367002283,2021-07-20 20:18:55
0.05,24.7637610888477,2021-07-20 20:18:55
0.3,23.7166743587812,2021-07-20 20:19:05
0.25,24.5330294086351,2021-07-20 20:19:05
0.2,24.5901864432607,2021-07-20 20:19:05
0.15,24.5850923415878,2021-07-20 20:19:05
0.1,24.5934196480225,2021-07-20 20:19:05
0.05,24.5965007297917,2021-07-20 20:19:05
0.3,23.5985988018344,2021-07-20 20:19:15
0.25,24.3665799116612,2021-07-20 20:19:15
0.2,24.4132711742115,2021-07-20 20:19:15
0.15,24.4734764002541,2021-07-20 20:19:15
0.1,24.4610845993857,2021-07-20 20:19:15
0.05,24.3580917171264,2021-07-20 20:19:15
0.3,23.5341619248557,2021-07-20 20:19:25
0.25,24.2462745903779,2021-07-20 20:19:25
0.2,24.3019368926254,2021-07-20 20:19:25
0.15,24.3078492422242,2021-07-20 20:19:25
0.1,24.3148925242585,2021-07-20 20:19:25
0.05,24.3062341726172,2021-07-20 20:19:25
0.3,23.4019605650705,2021-07-20 20:19:35
0.25,24.0506876489258,2021-07-20 20:19:35
0.2,24.125838689909,2021-07-20 20:19:35
0.15,24.1750769663338,2021-07-20 20:19:35
0.1,24.1726858580215,2021-07-20 20:19:35
0.05,24.1783032478534,2021-07-20 20:19:35
0.3,23.2862302261455,2021-07-20 20:19:45
0.25,23.9252699918438,2021-07-20 20:19:45
