Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       20.6700       20.6700       20.4900      0.128187      0.439356E-02  0.343761E-02  -277.210      -58.8532      -136.296       0.00000       0.00000      -418.354      0.227700      0.500000       5.00000       4.00000       3.60142       0.00000       0.00000       0.00000       0.00000    
        1  0.694444E-02   20.4938       20.4938       20.4938      0.160194      0.549251E-02  0.357689E-02  -315.621      -71.1959      -162.992       0.00000       0.00000      -417.351      0.227700      0.500000       5.00000       4.00000       3.60225       0.00000       0.00000       0.00000       0.00000    
        2  0.138889E-01   20.2935       20.2935       20.2935      0.153450      0.526335E-02  0.351248E-02  -302.544      -67.9437      -154.027       0.00000       0.00000      -416.214      0.227700      0.500000      0.305941E-01   20.3424      -1.74517       0.00000       0.00000       0.00000       0.00000    
        3  0.208333E-01   20.1048       20.1048       20.1048      0.170716      0.585778E-02  0.355337E-02  -316.900      -72.9494      -164.306       0.00000       0.00000      -415.144      0.227700      0.500000      0.162647E-01   20.4131      -20.6990       0.00000       0.00000       0.00000       0.00000    
        4  0.277778E-01   19.9190       19.9190       19.9190      0.145954      0.500998E-02  0.340425E-02  -281.903      -61.9305      -141.795       0.00000       0.00000      -414.093      0.227700      0.500000      0.346488E-01   20.3223      -12.7110       0.00000       0.00000       0.00000       0.00000    
        5  0.347222E-01   19.7501       19.7501       19.7501      0.129771      0.445596E-02  0.329156E-02  -257.554      -55.1042      -125.011       0.00000       0.00000      -413.139      0.227700      0.500000      0.341062E-01   20.3250      -18.4063       0.00000       0.00000       0.00000       0.00000    
        6  0.416667E-01   19.6001       19.6001       19.6001      0.125789      0.432054E-02  0.324959E-02  -250.207      -53.5645      -119.571       0.00000       0.00000      -412.293      0.227700      0.500000      0.371472E-01   20.3100      -20.8693       0.00000       0.00000       0.00000       0.00000    
        7  0.486111E-01   19.4562       19.4562       19.4562      0.141074      0.484690E-02  0.331347E-02  -267.720      -60.0191      -130.776       0.00000       0.00000      -411.483      0.227700      0.500000      0.404916E-01   20.2935      -22.5814       0.00000       0.00000       0.00000       0.00000    
        8  0.555556E-01   19.3024       19.3024       19.3024      0.160165      0.550450E-02  0.337382E-02  -285.455      -66.0854      -143.171       0.00000       0.00000      -410.619      0.227700      0.500000      0.432821E-01   20.2797      -24.6588       0.00000       0.00000       0.00000       0.00000    
        9  0.625000E-01   19.1388       19.1388       19.1388      0.154622      0.531570E-02  0.331933E-02  -274.779      -62.5899      -137.090       0.00000       0.00000      -409.701      0.227700      0.500000      0.457654E-01   20.2675      -26.9330       0.00000       0.00000       0.00000       0.00000    
       10  0.694444E-01   18.9833       18.9833       18.9833      0.132506      0.455679E-02  0.319029E-02  -246.491      -54.4120      -117.486       0.00000       0.00000      -408.830      0.227700      0.500000      0.485677E-01   20.2537      -28.5649       0.00000       0.00000       0.00000       0.00000    
       11  0.763889E-01   18.8465       18.8465       18.8465      0.123538      0.424953E-02  0.312307E-02  -233.363      -50.7095      -108.535       0.00000       0.00000      -408.065      0.227700      0.500000      0.517709E-01   20.2379      -29.3487       0.00000       0.00000       0.00000       0.00000    
       12  0.833333E-01   18.7185       18.7185       18.7185      0.703396E-01  0.242019E-02  0.280114E-02  -169.843      -30.7592      -65.4313       0.00000       0.00000      -407.350      0.227700      0.500000      0.549015E-01   20.2225      -29.9146       0.00000       0.00000       0.00000       0.00000    
       13  0.902778E-01   18.6307       18.6307       18.6307      0.516562E-01  0.177765E-02  0.278982E-02  -168.797      -30.7430      -64.6258       0.00000       0.00000      -406.860      0.227700      0.500000      0.588152E-01   20.2033      -29.1964       0.00000       0.00000       0.00000       0.00000    
       14  0.972222E-01   18.5432       18.5432       18.5432      0.711582E-01  0.244920E-02  0.278094E-02  -168.196      -30.7905      -64.1633       0.00000       0.00000      -406.371      0.227700      0.500000      0.622374E-01   20.1864      -28.8324       0.00000       0.00000       0.00000       0.00000    
       15  0.104167       18.4557       18.4557       18.4557      0.527308E-01  0.181526E-02  0.277264E-02  -167.701      -30.8634      -63.7654       0.00000       0.00000      -405.884      0.227700      0.500000      0.653034E-01   20.1714      -28.6887       0.00000       0.00000       0.00000       0.00000    
       16  0.111111       18.3685       18.3685       18.3685      0.260598E-01  0.897261E-03  0.276280E-02  -166.928      -30.8516      -63.2877       0.00000       0.00000      -405.399      0.227700      0.500000      0.681027E-01   20.1576      -28.6873       0.00000       0.00000       0.00000       0.00000    
       17  0.118056       18.2818       18.2818       18.2818      0.502695E-01  0.173112E-02  0.275588E-02  -166.682      -31.0839      -62.9773       0.00000       0.00000      -404.917      0.227700      0.500000      0.707011E-01   20.1448      -28.7754       0.00000       0.00000       0.00000       0.00000    
       18  0.125000       18.1953       18.1953       18.1953      0.508366E-01  0.175095E-02  0.274219E-02  -165.209      -30.7256      -62.3199       0.00000       0.00000      -404.436      0.227700      0.500000      0.731310E-01   20.1329      -28.9329       0.00000       0.00000       0.00000       0.00000    
       19  0.131944       18.1098       18.1098       18.1098      0.429038E-01  0.147797E-02  0.273351E-02  -164.636      -30.7842      -61.9367       0.00000       0.00000      -403.962      0.227700      0.500000      0.754454E-01   20.1215      -29.1183       0.00000       0.00000       0.00000       0.00000    
       20  0.138889       18.0247       18.0247       18.0247      0.498679E-01  0.171816E-02  0.272039E-02  -163.259      -30.5524      -61.1791       0.00000       0.00000      -403.490      0.227700      0.500000      0.776486E-01   20.1107      -29.3357       0.00000       0.00000       0.00000       0.00000    
       21  0.145833       17.9407       17.9407       17.9407      0.236902E-01  0.816361E-03  0.271094E-02  -162.536      -30.6551      -60.5720       0.00000       0.00000      -403.025      0.227700      0.500000      0.797720E-01   20.1003      -29.5623       0.00000       0.00000       0.00000       0.00000    
       22  0.152778       17.8573       17.8573       17.8573      0.164693E-01  0.567623E-03  0.269661E-02  -160.933      -30.1905      -59.9330       0.00000       0.00000      -402.563      0.227700      0.500000      0.818159E-01   20.0902      -29.8034       0.00000       0.00000       0.00000       0.00000    
