!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2020-01-01 00:00:00	0	0	100886.33	0.96666667	96.822222	1	0	0
2020-01-01 00:10:00	0	0	100878.1	0.909	96.686	1	0	0
2020-01-01 00:20:00	0	0	100860.6	0.871	96.943	1	0	0
2020-01-01 00:30:00	0	0	100856.7	0.809	96.931	1	0	0
2020-01-01 00:40:00	0	0	100852.5	0.728	97.101	1	0	0
2020-01-01 00:50:00	0	0	100830.1	0.759	97.26	1	0	0
2020-01-01 01:00:00	0	0	100823.2	0.798	97.116	1	0	0
2020-01-01 01:10:00	0	0	100816.7	0.779	96.978	1	0	0
2020-01-01 01:20:00	0	0	100809.4	0.794	97.099	1	0	0
2020-01-01 01:30:00	0	0	100796.2	0.789	96.928	1	0	0
2020-01-01 01:40:00	0	0	100781.5	0.36	96.599	1	0	0
2020-01-01 01:50:00	0	0	100776.9	-0.03	97.135	1	0	0
2020-01-01 02:00:00	0	0	100762.2	-0.21	97.5	1	0	0
2020-01-01 02:10:00	0	0	100759.8	-0.359	97.733	1	0	0
2020-01-01 02:20:00	0	0	100767.5	-0.429	97.767	1	0	0
2020-01-01 02:30:00	0	0	100768.7	-0.536	97.861	1	0	0
2020-01-01 02:40:00	0	0	100772.9	-0.392	98.21	1	0	0
2020-01-01 02:50:00	0	0	100772	-0.456	97.654	1	0	0
2020-01-01 03:00:00	0	0	100770.3	-0.692	97.751	1	0	0
2020-01-01 03:10:00	0	0	100775.9	-0.824	97.997	1	0	0
2020-01-01 03:20:00	0	0	100777.9	-0.9	98.042	1	0	0
2020-01-01 03:30:00	0	0	100768.6	-0.962	98.088	1	0	0
2020-01-01 03:40:00	0	0	100771.3	-1.023	98.101	1	0	0
2020-01-01 03:50:00	1.5955918	0	100776.9	-0.954	98.135	1	0	0
2020-01-01 04:00:00	0.0209356	0	100775.4	-0.986	97.831	1	0	0
2020-01-01 04:10:00	0	0	100774.7	-1.22	97.764	1	0	0
2020-01-01 04:20:00	0	0	100758	-1.293	97.971	1	0	0
2020-01-01 04:30:00	0	0	100751.4	-1.363	98.03	1	0	0
2020-01-01 04:40:00	0	0	100743.1	-1.546	97.907	1	0	0
2020-01-01 04:50:00	0	0	100739.6	-1.556	98.163	1	0	0
2020-01-01 05:00:00	0	0	100736.5	-1.662	97.992	1	0	0
2020-01-01 05:10:00	1.0856604	0	100727.9	-1.72	98.13	1	2.8821728	0
2020-01-01 05:20:00	0	0	100709.5	-1.774	97.835	1	0.0589344	0
2020-01-01 05:30:00	0	0	100703.8	-1.785	98.013	1	0.0729664	0
2020-01-01 05:40:00	0	0	100699.5	-1.906	98.024	1	0.1515456	0
2020-01-01 05:50:00	0	0	100696.3	-2.149	98.058	1	0.0547248	0
2020-01-01 06:00:00	0	0	100688.5	-2.272	98.249	1	0.0799824	0
2020-01-01 06:10:00	0	0	100678.1	-2.267	98.368	1	0.0813856	0
2020-01-01 06:20:00	0	0	100684.9	-2.514	98.011	1	0.126288	0
