datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Surface_Level_Barometric_Pressure_pascal,Rainfall_millimeterPerHour
2020-01-01 00:00:00,0,0.966666666666667,96.8222222222222,0,100886.333333333,0
2020-01-01 00:10:00,0,0.909,96.686,0,100878.1,0
2020-01-01 00:20:00,0,0.871,96.943,0,100860.6,0
2020-01-01 00:30:00,0,0.809,96.931,0,100856.7,0
2020-01-01 00:40:00,0,0.728,97.101,0,100852.5,0
2020-01-01 00:50:00,0,0.759,97.26,0,100830.1,0
2020-01-01 01:00:00,0,0.798,97.116,0,100823.2,0
2020-01-01 01:10:00,0,0.779,96.978,0,100816.7,0
2020-01-01 01:20:00,0,0.794,97.099,0,100809.4,0
2020-01-01 01:30:00,0,0.789,96.928,0,100796.2,0
2020-01-01 01:40:00,0,0.36,96.599,0,100781.5,0
2020-01-01 01:50:00,0,-0.03,97.135,0,100776.9,0
2020-01-01 02:00:00,0,-0.21,97.5,0,100762.2,0
2020-01-01 02:10:00,0,-0.359,97.733,0,100759.8,0
2020-01-01 02:20:00,0,-0.429,97.767,0,100767.5,0
2020-01-01 02:30:00,0,-0.536,97.861,0,100768.7,0
2020-01-01 02:40:00,0,-0.392,98.21,0,100772.9,0
2020-01-01 02:50:00,0,-0.456,97.654,0,100772,0
2020-01-01 03:00:00,0,-0.692,97.751,0,100770.3,0
2020-01-01 03:10:00,0,-0.824,97.997,0,100775.9,0
2020-01-01 03:20:00,0,-0.9,98.042,0,100777.9,0
2020-01-01 03:30:00,0,-0.962,98.088,0,100768.6,0
2020-01-01 03:40:00,0,-1.023,98.101,0,100771.3,0
2020-01-01 03:50:00,1.067,-0.954,98.135,0,100776.9,0
2020-01-01 04:00:00,0.014,-0.986,97.831,0,100775.4,0
2020-01-01 04:10:00,0,-1.22,97.764,0,100774.7,0
2020-01-01 04:20:00,0,-1.293,97.971,0,100758,0
2020-01-01 04:30:00,0,-1.363,98.03,0,100751.4,0
2020-01-01 04:40:00,0,-1.546,97.907,0,100743.1,0
2020-01-01 04:50:00,0,-1.556,98.163,0,100739.6,0
2020-01-01 05:00:00,0,-1.662,97.992,0,100736.5,0
2020-01-01 05:10:00,0.726,-1.72,98.13,2.054,100727.9,0
2020-01-01 05:20:00,0,-1.774,97.835,0.042,100709.5,0
2020-01-01 05:30:00,0,-1.785,98.013,0.052,100703.8,0
2020-01-01 05:40:00,0,-1.906,98.024,0.108,100699.5,0
2020-01-01 05:50:00,0,-2.149,98.058,0.039,100696.3,0
2020-01-01 06:00:00,0,-2.272,98.249,0.057,100688.5,0
2020-01-01 06:10:00,0,-2.267,98.368,0.058,100678.1,0
2020-01-01 06:20:00,0,-2.514,98.011,0.09,100684.9,0
2020-01-01 06:30:00,0,-2.457,98.262,0.065,100684.5,0
2020-01-01 06:40:00,0,-2.463,98.149,0.074,100679.5,0
2020-01-01 06:50:00,0,-2.63,97.809,0.045,100684.3,0
2020-01-01 07:00:00,0,-2.677,97.869,0.011,100691.4,0
2020-01-01 07:10:00,0,-2.757,97.791,0.044,100688.7,0
2020-01-01 07:20:00,0,-2.751,97.954,0.065,100698.4,0
2020-01-01 07:30:00,0,-3.083,97.498,0.008,100701.8,0
2020-01-01 07:40:00,0,-2.957,98.052,0.048,100703.5,0
2020-01-01 07:50:00,0,-2.951,97.801,0.02,100716.5,0
2020-01-01 08:00:00,0,-3.129,97.536,0,100715.2,0
2020-01-01 08:10:00,0,-3.122,97.758,0.065,100719,0
2020-01-01 08:20:00,0,-2.968,97.459,0.15,100717.1,0
2020-01-01 08:30:00,0,-2.991,97.341,0.434,100716.1,0
2020-01-01 08:40:00,0,-2.974,97.529,1.238,100714.5,0
2020-01-01 08:50:00,0,-3.062,97.271,3.174,100716.2,0
2020-01-01 09:00:00,0,-2.985,97.32,6.59,100713.1,0
2020-01-01 09:10:00,0,-2.998,97.204,8.948,100711.7,0
2020-01-01 09:20:00,0,-2.864,97.39,9.238,100718.5,0
2020-01-01 09:30:00,0,-2.953,96.723,12.752,100720.2,0
2020-01-01 09:40:00,0,-2.953,97.008,22.319,100726.2,0
2020-01-01 09:50:00,1.762,-2.7,97.018,33.887,100732,0
2020-01-01 10:00:00,4.33,-2.229,96.975,40.076,100737.9,0
2020-01-01 10:10:00,3.497,-1.819,96.682,46.177,100742.2,0
2020-01-01 10:20:00,3.794,-1.561,96.374,51.203,100751.4,0
2020-01-01 10:30:00,3.362,-1.162,96.431,61.42,100753.4,0
2020-01-01 10:40:00,0,-0.915,95.858,58.141,100756.2,0
2020-01-01 10:50:00,0.125,-0.759,95.638,48.259,100755.4,0
2020-01-01 11:00:00,0.343,-0.638,96.128,49.732,100757.5,0
