"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
203.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7914E-006,5.1655E-007,1.2954E-007,1.5643E-007,1.8247E-007,-1.2925E-026
203.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9259E-008,3.6967E-008,5.4053E-008,7.0359E-008,8.5663E-008,-6.4623E-027
203.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3709E-008,2.5828E-008,3.7056E-008,4.7814E-008,5.8754E-008,-3.2312E-027
203.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8094E-009,1.9249E-008,3.0250E-008,4.1801E-008,5.4280E-008,-3.2312E-027
203.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7516E-008,1.1292E-007,1.8659E-007,2.9438E-007,4.4654E-007,0.0000E+000
203.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2000E-008,2.1243E-008,2.6522E-008,2.7959E-008,2.7129E-008,0.0000E+000
203.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1184E-008,2.1250E-008,3.0529E-008,3.9339E-008,4.7904E-008,3.2312E-027
203.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0268E-008,1.9533E-008,2.8382E-008,3.7193E-008,4.6422E-008,3.2312E-027
203.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1985E-009,6.1009E-009,8.5935E-009,1.0773E-008,1.2676E-008,0.0000E+000
