"",0.300
203.0000,0.0000E+000
203.0417,3.5968E+002
203.0833,3.5721E+002
203.1250,3.5463E+002
203.1667,3.5026E+002
203.2083,3.4865E+002
203.2500,3.4878E+002
203.2917,3.4993E+002
203.3333,3.5304E+002
203.3750,3.7171E+002
203.4167,2.8652E+002
203.4583,2.8149E+002
203.5000,2.7497E+002
203.5417,2.5965E+002
203.5833,2.5373E+002
203.6250,2.8935E+002
203.6667,2.5299E+002
203.7083,2.5842E+002
203.7500,4.2793E+002
203.7917,3.7020E+002
203.8333,2.3190E+002
203.8750,4.0259E+002
203.9167,3.8192E+002
203.9583,3.7463E+002
204.0000,3.7033E+002
204.0417,3.6642E+002
204.0833,3.6399E+002
204.1250,3.6588E+002
204.1667,3.6838E+002
204.2083,3.6253E+002
204.2500,3.6366E+002
204.2917,3.5871E+002
204.3333,3.6262E+002
204.3750,3.9025E+002
204.4167,2.8884E+002
204.4583,2.8792E+002
204.5000,2.7063E+002
204.5417,2.4843E+002
204.5833,2.9904E+002
204.6250,3.4620E+002
204.6667,2.9831E+002
204.7083,2.7002E+002
204.7500,4.2555E+002
204.7917,4.2164E+002
204.8333,3.9980E+002
204.8750,3.8935E+002
204.9167,3.8266E+002
204.9583,3.8026E+002
205.0000,3.7566E+002
205.0417,3.7246E+002
205.0833,3.6807E+002
205.1250,3.6780E+002
205.1667,3.6826E+002
205.2083,3.6747E+002
205.2500,3.6893E+002
205.2917,3.7511E+002
205.3333,3.8626E+002
205.3750,4.0445E+002
205.4167,4.0838E+002
205.4583,4.2830E+002
205.5000,4.2778E+002
205.5417,4.1231E+002
205.5833,2.6378E+002
205.6250,2.4989E+002
205.6667,2.8960E+002
205.7083,4.1414E+002
205.7500,4.4781E+002
205.7917,4.1930E+002
205.8333,4.1658E+002
205.8750,3.9795E+002
205.9167,3.9519E+002
205.9583,3.8935E+002
206.0000,3.8602E+002
206.0417,3.8488E+002
206.0833,3.7877E+002
206.1250,3.7353E+002
206.1667,3.6946E+002
206.2083,3.6548E+002
206.2500,3.6254E+002
206.2917,3.6501E+002
206.3333,3.8150E+002
206.3750,3.9912E+002
206.4167,4.0350E+002
206.4583,3.0555E+002
206.5000,4.2559E+002
206.5417,3.7510E+002
206.5833,4.1281E+002
206.6250,4.0443E+002
206.6667,2.8958E+002
206.7083,4.4530E+002
206.7500,4.3485E+002
206.7917,4.1109E+002
206.8333,4.0767E+002
206.8750,3.9946E+002
206.9167,3.8847E+002
206.9583,3.8751E+002
207.0000,3.8189E+002
207.0417,3.8656E+002
207.0833,3.8571E+002
207.1250,3.8508E+002
207.1667,3.8513E+002
207.2083,3.8688E+002
207.2500,3.8517E+002
207.2917,3.8446E+002
207.3333,3.9261E+002
207.3750,4.0009E+002
207.4167,4.1134E+002
207.4583,4.1948E+002
207.5000,4.1634E+002
207.5417,3.6725E+002
207.5833,4.0363E+002
207.6250,2.6093E+002
207.6667,3.2888E+002
207.7083,3.2254E+002
207.7500,3.7184E+002
207.7917,4.0229E+002
207.8333,3.8122E+002
207.8750,3.8546E+002
207.9167,3.7730E+002
207.9583,3.7226E+002
208.0000,3.6891E+002
208.0417,3.6614E+002
208.0833,3.6275E+002
208.1250,3.6150E+002
208.1667,3.6298E+002
208.2083,3.6515E+002
208.2500,3.6750E+002
208.2917,3.6962E+002
208.3333,3.7248E+002
208.3750,3.8627E+002
208.4167,2.8547E+002
208.4583,3.2571E+002
208.5000,2.6650E+002
208.5417,2.5330E+002
208.5833,2.9671E+002
208.6250,2.5749E+002
208.6667,3.2997E+002
208.7083,2.8172E+002
208.7500,4.5705E+002
208.7917,4.2486E+002
208.8333,4.1237E+002
208.8750,4.0154E+002
208.9167,3.9402E+002
208.9583,3.8789E+002
209.0000,3.8447E+002
209.0417,3.8102E+002
209.0833,3.7890E+002
209.1250,3.8093E+002
209.1667,3.7890E+002
209.2083,3.7656E+002
209.2500,3.7472E+002
209.2917,3.7777E+002
209.3333,4.0055E+002
209.3750,4.1754E+002
209.4167,3.6945E+002
209.4583,4.2823E+002
209.5000,4.2945E+002
209.5417,4.3562E+002
209.5833,2.9187E+002
209.6250,3.6383E+002
209.6667,3.4517E+002
209.7083,3.7404E+002
209.7500,3.9978E+002
209.7917,3.9293E+002
209.8333,3.3555E+002
209.8750,3.9084E+002
209.9167,3.8147E+002
209.9583,3.7851E+002
210.0000,3.7764E+002
210.0417,3.7837E+002
210.0833,3.6682E+002
210.1250,3.6065E+002
210.1667,3.5634E+002
210.2083,3.5242E+002
210.2500,3.5011E+002
210.2917,3.5054E+002
210.3333,3.5301E+002
210.3750,3.6811E+002
210.4167,2.7243E+002
210.4583,2.7025E+002
210.5000,2.5865E+002
210.5417,2.4053E+002
210.5833,2.3814E+002
210.6250,2.5063E+002
210.6667,2.5763E+002
210.7083,2.5649E+002
210.7500,4.2569E+002
210.7917,3.9756E+002
210.8333,3.8719E+002
210.8750,3.7882E+002
210.9167,3.7136E+002
210.9583,3.6620E+002
211.0000,3.6186E+002
211.0417,3.5804E+002
211.0833,3.5387E+002
211.1250,3.4961E+002
211.1667,3.4921E+002
211.2083,3.4965E+002
211.2500,3.4986E+002
211.2917,3.5087E+002
211.3333,3.5496E+002
211.3750,3.7463E+002
211.4167,2.8612E+002
211.4583,2.8570E+002
211.5000,2.7431E+002
211.5417,2.5217E+002
211.5833,2.5589E+002
211.6250,2.5775E+002
211.6667,2.7868E+002
211.7083,2.7768E+002
211.7500,4.5016E+002
211.7917,4.2392E+002
211.8333,4.1198E+002
211.8750,3.9483E+002
211.9167,3.8217E+002
211.9583,3.7900E+002
212.0000,3.7133E+002
212.0417,3.6949E+002
212.0833,3.6702E+002
212.1250,3.6477E+002
212.1667,3.6226E+002
212.2083,3.6161E+002
212.2500,3.5997E+002
212.2917,3.6146E+002
212.3333,3.6537E+002
212.3750,3.7958E+002
212.4167,2.9157E+002
212.4583,2.9522E+002
212.5000,3.0609E+002
212.5417,2.5930E+002
212.5833,2.7080E+002
212.6250,2.8121E+002
212.6667,2.8121E+002
212.7083,2.8714E+002
212.7500,4.5136E+002
212.7917,4.1977E+002
212.8333,4.1128E+002
212.8750,4.0163E+002
212.9167,3.9498E+002
212.9583,3.8634E+002
213.0000,3.8296E+002
213.0417,3.7971E+002
213.0833,3.7659E+002
213.1250,3.7617E+002
213.1667,3.7258E+002
213.2083,3.6969E+002
213.2500,3.7127E+002
213.2917,3.7663E+002
213.3333,3.9102E+002
213.3750,4.0404E+002
213.4167,4.3614E+002
213.4583,4.3029E+002
213.5000,4.0255E+002
213.5417,4.2652E+002
213.5833,4.1279E+002
213.6250,4.1951E+002
213.6667,2.6682E+002
213.7083,3.9025E+002
213.7500,4.5180E+002
213.7917,4.3025E+002
213.8333,4.1793E+002
213.8750,4.1527E+002
213.9167,4.1158E+002
213.9583,4.0687E+002
214.0000,4.0506E+002
214.0417,4.0157E+002
214.0833,3.9944E+002
214.1250,3.9865E+002
214.1667,3.9359E+002
214.2083,3.8990E+002
214.2500,3.8879E+002
214.2917,3.8934E+002
214.3333,4.0868E+002
214.3750,4.1641E+002
214.4167,4.1820E+002
214.4583,4.2023E+002
214.5000,4.1247E+002
214.5417,4.3103E+002
214.5833,4.2062E+002
214.6250,4.3409E+002
214.6667,3.8099E+002
214.7083,2.5200E+002
214.7500,4.3004E+002
214.7917,4.0955E+002
214.8333,3.9927E+002
214.8750,3.9315E+002
214.9167,3.8774E+002
214.9583,3.8418E+002
215.0000,3.7961E+002
215.0417,3.7867E+002
215.0833,3.8240E+002
215.1250,3.7829E+002
215.1667,3.8161E+002
215.2083,3.7964E+002
215.2500,3.8117E+002
215.2917,3.8688E+002
215.3333,3.9403E+002
215.3750,3.9896E+002
215.4167,4.0150E+002
215.4583,4.0423E+002
215.5000,4.0979E+002
215.5417,3.7145E+002
215.5833,3.3465E+002
215.6250,4.2167E+002
215.6667,3.4978E+002
215.7083,3.9731E+002
215.7500,3.7894E+002
215.7917,3.7615E+002
215.8333,3.7749E+002
215.8750,3.7654E+002
215.9167,3.7553E+002
215.9583,3.7518E+002
216.0000,3.7283E+002
216.0417,3.7250E+002
216.0833,3.7257E+002
216.1250,3.7223E+002
216.1667,3.7201E+002
216.2083,3.7195E+002
216.2500,3.7039E+002
216.2917,3.7017E+002
216.3333,3.7502E+002
216.3750,3.8180E+002
216.4167,3.6466E+002
216.4583,2.8875E+002
216.5000,2.4744E+002
216.5417,3.9392E+002
216.5833,4.0427E+002
216.6250,4.1037E+002
216.6667,3.8091E+002
216.7083,4.1686E+002
216.7500,3.9884E+002
216.7917,4.0313E+002
216.8333,3.8686E+002
216.8750,3.7345E+002
216.9167,3.7046E+002
216.9583,3.6454E+002
217.0000,3.6146E+002
217.0417,3.5848E+002
217.0833,3.5600E+002
217.1250,3.5368E+002
217.1667,3.5218E+002
217.2083,3.5023E+002
217.2500,3.4958E+002
217.2917,3.5099E+002
217.3333,3.5473E+002
217.3750,3.6581E+002
217.4167,3.9232E+002
217.4583,2.6244E+002
217.5000,2.6437E+002
217.5417,2.4290E+002
217.5833,2.4743E+002
217.6250,2.5577E+002
217.6667,2.4162E+002
217.7083,2.6202E+002
217.7500,4.1662E+002
217.7917,4.0153E+002
217.8333,3.9159E+002
217.8750,3.8206E+002
217.9167,3.7509E+002
217.9583,3.6839E+002
218.0000,3.6534E+002
218.0417,3.6250E+002
218.0833,3.6025E+002
218.1250,3.5892E+002
218.1667,3.5612E+002
218.2083,3.5432E+002
218.2500,3.5360E+002
218.2917,3.5452E+002
218.3333,3.5832E+002
218.3750,3.7134E+002
218.4167,4.0105E+002
218.4583,2.7561E+002
218.5000,2.6955E+002
218.5417,2.5800E+002
218.5833,2.5426E+002
218.6250,2.6606E+002
218.6667,2.6933E+002
218.7083,2.9860E+002
218.7500,4.3253E+002
218.7917,4.1873E+002
218.8333,4.0911E+002
218.8750,3.9753E+002
