"",0.300
202.4410,0.0000E+000
203.4410,2.1077E+001
204.4410,3.1147E+001
205.4410,1.2680E+001
206.4410,2.7746E+001
207.4410,1.9855E+001
208.4410,2.0726E+001
209.4410,1.0124E+001
210.4410,2.0298E+001
211.4410,0.0000E+000
212.4410,2.9149E+001
213.4410,5.6518E+001
214.4410,1.1079E+001
215.4410,1.7915E+000
216.4410,4.5591E+000
217.4410,1.7585E+001
218.4410,4.1399E+001
219.4410,1.9381E+001
220.4410,1.9742E+001
221.4410,0.0000E+000
222.4410,2.4508E+001
223.4410,0.0000E+000
224.4410,9.5316E+000
225.4410,0.0000E+000
226.4410,3.6112E+000
227.4410,1.2990E+001
228.4410,2.3198E+001
229.4410,-1.6320E+000
230.4410,1.0564E+000
231.4410,5.5469E-003
232.4410,1.1759E+001
233.4410,5.8429E+001
234.4410,-4.3975E+000
235.4410,2.1571E+001
236.4410,5.6591E+000
237.4410,0.0000E+000
238.4410,3.0600E+001
239.4410,9.2054E+000
240.4410,1.2327E+001
241.4410,1.9267E+000
242.4410,5.2339E-001
243.4410,4.3587E+000
244.4410,-1.5451E+000
245.4410,4.1455E+000
246.4410,1.9838E+001
247.4410,1.5649E+001
248.4410,3.6334E+000
249.4410,-8.1684E-001
250.4410,5.8197E+000
251.4410,1.6506E+001
252.4410,0.0000E+000
253.4410,1.6422E+001
254.4410,2.0377E+001
255.4410,0.0000E+000
256.4410,0.0000E+000
257.4410,0.0000E+000
258.4410,0.0000E+000
259.4410,0.0000E+000
260.4410,5.6033E+000
261.4410,8.9437E+000
262.4410,0.0000E+000
263.4410,0.0000E+000
264.4410,4.3856E+000
265.4410,0.0000E+000
266.4410,0.0000E+000
267.4410,-1.9621E+000
268.4410,-2.3231E+001
269.4410,-6.9176E+000
270.4410,-2.0146E+000
271.4410,-3.0812E+000
272.4410,2.8487E+000
273.4410,5.8495E+000
274.4410,-3.1274E+000
275.4410,0.0000E+000
276.4410,-8.6138E+000
277.4410,-8.7396E-001
278.4410,-4.3768E-001
279.4410,-4.4459E-001
280.4410,-3.5745E-002
281.4410,1.0963E+000
282.4410,9.4105E+000
283.4410,-3.2495E+000
284.4410,-4.0687E-001
285.4410,2.9800E+000
286.4410,-3.5555E+000
287.4410,4.6028E-001
288.4410,9.2737E-001
289.4410,4.9883E-001
290.4410,-3.2730E-001
291.4410,-8.0830E+000
292.4410,0.0000E+000
293.4410,-2.6448E+000
294.4410,0.0000E+000
295.4410,0.0000E+000
296.4410,0.0000E+000
297.4410,1.5964E+001
298.4410,0.0000E+000
299.4410,-5.1328E+000
300.4410,-1.7897E-001
301.4410,3.1864E+000
302.4410,6.6798E-002
303.4410,0.0000E+000
304.4410,1.7322E+000
305.4410,0.0000E+000
306.4410,6.8198E+001
307.4410,2.3978E+000
308.4410,-5.7566E+000
309.4410,-9.0715E-001
310.4410,4.5942E-003
311.4410,0.0000E+000
312.4410,0.0000E+000
313.4410,0.0000E+000
314.4410,1.1299E+001
315.4410,0.0000E+000
316.4410,1.3946E+001
317.4410,0.0000E+000
318.4410,0.0000E+000
