"",0.300
203.0000,0.0000E+000
203.0069,-6.1029E+001
203.0139,-5.6198E+001
203.0208,-5.6696E+001
203.0278,-3.8931E+001
203.0347,-2.5137E+001
203.0417,-1.8416E+001
203.0486,-1.7739E+001
203.0556,-1.9091E+001
203.0625,-1.8809E+001
203.0694,-1.6712E+001
203.0764,-1.6094E+001
203.0833,-1.0614E+001
203.0903,-8.1331E+000
203.0972,-1.1027E+001
203.1042,-8.8866E+000
203.1111,-6.0620E+000
203.1181,-9.1693E+000
203.1250,-9.3491E+000
203.1319,-8.5944E+000
203.1389,-9.5273E+000
203.1458,-6.8857E+000
203.1528,-6.5111E+000
203.1597,-6.8313E+000
203.1667,-8.1108E+000
203.1736,-1.0680E+001
203.1806,-1.1194E+001
203.1875,-8.8525E+000
203.1944,-1.3352E+001
203.2014,-1.8968E+001
203.2083,-1.8902E+001
203.2153,-1.2800E+001
203.2222,-1.0044E+001
203.2292,-1.4471E+001
203.2361,-1.8678E+001
203.2431,-1.6673E+001
203.2500,-2.0143E+001
203.2569,-2.0587E+001
203.2639,-1.9894E+001
203.2708,-2.0087E+001
203.2778,-1.7117E+001
203.2847,-1.8434E+001
203.2917,-1.0750E+001
203.2986,-1.6639E+001
203.3056,-1.5414E+001
203.3125,-1.4176E+001
203.3194,-9.6684E+000
203.3264,-1.3466E+001
203.3333,-9.3468E+000
203.3403,-5.0616E+000
203.3472,-4.4962E+000
203.3542,-2.7517E+000
203.3611,-3.0148E+000
203.3681,-1.2604E+000
203.3750,-2.4974E-001
203.3819,3.0515E-001
203.3889,-3.0229E-001
203.3958,-2.3886E+000
203.4028,-7.1428E+000
203.4097,-6.5254E+000
203.4167,-6.3552E+000
203.4236,-6.5651E+000
203.4306,-1.1767E+001
203.4375,-6.4405E+000
203.4444,-1.7303E+001
203.4514,-2.0576E+001
203.4583,-2.7194E+001
203.4653,-4.1176E+001
203.4722,-3.5453E+001
203.4792,-3.3080E+001
203.4861,-3.1060E+001
203.4931,-2.7531E+001
203.5000,-4.4774E+001
203.5069,-6.6316E+001
203.5139,-6.8663E+001
203.5208,-8.7065E+001
203.5278,-8.3754E+001
203.5347,-7.5984E+001
203.5417,-8.6456E+001
203.5486,-9.2720E+001
203.5556,-8.8366E+001
203.5625,-1.2416E+002
203.5694,-1.0997E+002
203.5764,-7.1399E+001
203.5833,-1.2452E+002
203.5903,-1.3674E+002
203.5972,-1.2385E+002
203.6042,-8.0475E+001
203.6111,-1.2991E+002
203.6181,-1.3265E+002
203.6250,-1.1141E+002
203.6319,-9.2024E+001
203.6389,-7.9748E+001
203.6458,-1.3944E+002
203.6528,-7.9679E+001
203.6597,-9.4668E+001
203.6667,-7.5261E+001
203.6736,-4.3688E+001
203.6806,-2.7537E+001
203.6875,-5.3969E+001
203.6944,-8.6494E+001
203.7014,-8.1301E+001
203.7083,-6.1601E+001
203.7153,-4.3695E+001
203.7222,-9.4606E+001
203.7292,-1.2754E+002
203.7361,-1.1108E+002
203.7431,-1.1417E+002
203.7500,-1.3948E+002
203.7569,-1.8525E+002
203.7639,-1.7718E+002
203.7708,-9.9448E+001
203.7778,-1.0679E+002
203.7847,-1.7056E+002
203.7917,-7.6700E+001
203.7986,-2.8811E+001
203.8056,-2.4672E+001
203.8125,-8.9109E+001
203.8194,-4.4500E+001
203.8264,-3.3833E+001
203.8333,-4.4238E+001
203.8403,-3.9787E+001
203.8472,-2.0868E+001
203.8542,-3.3355E+001
203.8611,-4.0687E+001
203.8681,-2.0220E+001
203.8750,-4.3952E+001
203.8819,-6.0736E+001
203.8889,-6.3018E+001
203.8958,-6.9637E+001
203.9028,-5.9045E+001
203.9097,-5.0155E+001
203.9167,-5.2547E+001
203.9236,-4.4791E+001
203.9306,-4.8349E+001
203.9375,-5.6275E+001
203.9444,-5.9553E+001
203.9514,-7.9073E+001
203.9583,-8.0009E+001
203.9653,-1.0203E+002
203.9722,-1.0731E+002
203.9792,-9.2130E+001
203.9861,-9.6702E+001
203.9931,-9.6777E+001
204.0000,-1.0990E+002
204.0069,-1.0972E+002
204.0139,-1.0476E+002
204.0208,-1.0538E+002
204.0278,-1.1291E+002
204.0347,-1.0152E+002
204.0417,-9.7355E+001
204.0486,-8.9489E+001
204.0556,-8.0962E+001
204.0625,-1.0031E+002
204.0694,-9.6605E+001
204.0764,-9.4101E+001
204.0833,-8.9476E+001
204.0903,-8.0751E+001
204.0972,-9.3409E+001
204.1042,-8.5193E+001
204.1111,-9.1496E+001
204.1181,-8.8407E+001
