"",0.300
203.0000,0.0000E+000
203.0417,-4.0481E+002
203.0833,-4.0169E+002
203.1250,-3.9864E+002
203.1667,-3.9588E+002
203.2083,-3.9291E+002
203.2500,-3.9009E+002
203.2917,-3.8710E+002
203.3333,-3.8482E+002
203.3750,-3.8353E+002
203.4167,-3.8409E+002
203.4583,-3.8639E+002
203.5000,-3.8944E+002
203.5417,-3.9276E+002
203.5833,-3.9618E+002
203.6250,-3.9927E+002
203.6667,-4.0203E+002
203.7083,-4.0420E+002
203.7500,-4.0491E+002
203.7917,-4.0485E+002
203.8333,-4.0507E+002
203.8750,-4.0327E+002
203.9167,-4.0197E+002
203.9583,-4.0012E+002
204.0000,-3.9739E+002
204.0417,-3.9441E+002
204.0833,-3.9162E+002
204.1250,-3.8900E+002
204.1667,-3.8663E+002
204.2083,-3.8492E+002
204.2500,-3.8348E+002
204.2917,-3.8215E+002
204.3333,-3.8127E+002
204.3750,-3.8081E+002
204.4167,-3.8148E+002
204.4583,-3.8401E+002
204.5000,-3.8753E+002
204.5417,-3.9142E+002
204.5833,-3.9497E+002
204.6250,-3.9893E+002
204.6667,-4.0175E+002
204.7083,-4.0405E+002
204.7500,-4.0512E+002
204.7917,-4.0575E+002
204.8333,-4.0593E+002
204.8750,-4.0525E+002
204.9167,-4.0380E+002
204.9583,-4.0211E+002
205.0000,-4.0038E+002
205.0417,-3.9854E+002
205.0833,-3.9667E+002
205.1250,-3.9493E+002
205.1667,-3.9322E+002
205.2083,-3.9156E+002
205.2500,-3.9036E+002
205.2917,-3.8765E+002
205.3333,-3.8933E+002
205.3750,-3.9206E+002
205.4167,-3.9743E+002
205.4583,-4.0332E+002
205.5000,-4.0712E+002
205.5417,-4.1059E+002
205.5833,-4.0023E+002
205.6250,-4.0285E+002
205.6667,-4.0520E+002
205.7083,-4.0707E+002
205.7500,-4.0826E+002
205.7917,-4.0867E+002
205.8333,-4.0918E+002
205.8750,-4.0855E+002
205.9167,-4.0729E+002
205.9583,-4.0587E+002
206.0000,-4.0456E+002
206.0417,-4.0317E+002
206.0833,-4.0185E+002
206.1250,-4.0022E+002
206.1667,-3.9834E+002
206.2083,-3.9669E+002
206.2500,-3.9481E+002
206.2917,-3.9285E+002
206.3333,-3.9198E+002
206.3750,-3.9370E+002
206.4167,-3.9741E+002
206.4583,-3.9702E+002
206.5000,-3.9944E+002
206.5417,-4.0228E+002
206.5833,-4.0527E+002
206.6250,-4.0848E+002
206.6667,-4.1081E+002
206.7083,-4.1236E+002
206.7500,-4.1346E+002
206.7917,-4.1412E+002
206.8333,-4.1445E+002
206.8750,-4.1356E+002
206.9167,-4.1257E+002
206.9583,-4.0670E+002
207.0000,-4.0253E+002
207.0417,-4.0380E+002
207.0833,-4.0673E+002
207.1250,-4.0197E+002
207.1667,-4.0289E+002
207.2083,-4.0297E+002
207.2500,-3.9962E+002
207.2917,-3.9705E+002
207.3333,-3.9797E+002
207.3750,-4.0317E+002
207.4167,-4.0424E+002
207.4583,-4.0554E+002
207.5000,-4.0674E+002
207.5417,-4.0944E+002
207.5833,-4.1027E+002
207.6250,-4.1249E+002
207.6667,-4.1556E+002
207.7083,-4.1756E+002
207.7500,-4.1815E+002
207.7917,-4.1764E+002
207.8333,-4.1677E+002
207.8750,-4.1351E+002
207.9167,-4.1284E+002
207.9583,-4.1079E+002
208.0000,-4.0840E+002
208.0417,-4.0606E+002
208.0833,-3.9765E+002
208.1250,-3.9199E+002
208.1667,-3.9846E+002
208.2083,-3.9801E+002
208.2500,-3.9634E+002
208.2917,-3.9477E+002
208.3333,-3.9370E+002
208.3750,-3.9145E+002
208.4167,-3.9389E+002
208.4583,-3.9644E+002
208.5000,-4.0093E+002
208.5417,-4.0380E+002
208.5833,-4.0774E+002
208.6250,-4.1054E+002
208.6667,-4.1280E+002
208.7083,-4.1448E+002
208.7500,-4.1538E+002
208.7917,-4.1575E+002
208.8333,-4.1550E+002
208.8750,-4.1464E+002
208.9167,-4.1344E+002
208.9583,-4.1173E+002
209.0000,-4.0817E+002
209.0417,-4.0861E+002
209.0833,-4.0691E+002
209.1250,-4.0502E+002
209.1667,-4.0344E+002
209.2083,-4.0191E+002
209.2500,-4.0016E+002
209.2917,-3.9876E+002
209.3333,-3.9835E+002
209.3750,-3.9942E+002
209.4167,-4.0082E+002
209.4583,-4.0281E+002
209.5000,-4.0550E+002
209.5417,-4.0843E+002
209.5833,-4.1116E+002
209.6250,-4.1491E+002
209.6667,-4.1758E+002
209.7083,-4.1893E+002
209.7500,-4.1962E+002
209.7917,-4.1959E+002
209.8333,-4.1908E+002
209.8750,-4.1715E+002
209.9167,-4.1471E+002
209.9583,-4.1213E+002
210.0000,-4.0925E+002
210.0417,-4.0651E+002
210.0833,-4.0416E+002
210.1250,-4.0159E+002
210.1667,-3.9774E+002
210.2083,-3.9686E+002
210.2500,-3.8837E+002
210.2917,-3.9018E+002
210.3333,-3.8998E+002
210.3750,-3.8855E+002
210.4167,-3.8880E+002
210.4583,-3.9026E+002
210.5000,-3.9262E+002
210.5417,-3.9554E+002
210.5833,-3.9832E+002
210.6250,-4.0119E+002
210.6667,-4.0356E+002
210.7083,-4.0481E+002
210.7500,-4.0536E+002
210.7917,-4.0511E+002
210.8333,-4.0412E+002
210.8750,-4.0245E+002
210.9167,-4.0044E+002
210.9583,-3.9751E+002
211.0000,-3.9647E+002
211.0417,-3.9393E+002
211.0833,-3.9175E+002
211.1250,-3.8674E+002
211.1667,-3.8486E+002
211.2083,-3.7794E+002
211.2500,-3.7343E+002
211.2917,-3.7032E+002
211.3333,-3.7149E+002
211.3750,-3.7990E+002
211.4167,-3.8256E+002
211.4583,-3.8511E+002
211.5000,-3.8875E+002
211.5417,-3.9269E+002
211.5833,-3.9618E+002
211.6250,-3.9978E+002
211.6667,-4.0301E+002
211.7083,-4.0525E+002
211.7500,-4.0644E+002
211.7917,-4.0661E+002
211.8333,-4.0656E+002
211.8750,-4.0570E+002
211.9167,-4.0393E+002
211.9583,-4.0194E+002
212.0000,-4.0013E+002
212.0417,-3.9802E+002
212.0833,-3.9584E+002
212.1250,-3.9372E+002
212.1667,-3.9178E+002
212.2083,-3.8993E+002
212.2500,-3.8806E+002
212.2917,-3.8635E+002
212.3333,-3.8499E+002
212.3750,-3.8424E+002
212.4167,-3.8518E+002
212.4583,-3.8791E+002
212.5000,-3.9191E+002
212.5417,-3.9618E+002
212.5833,-4.0015E+002
212.6250,-4.0406E+002
212.6667,-4.0728E+002
212.7083,-4.0983E+002
212.7500,-4.1191E+002
212.7917,-4.1370E+002
212.8333,-4.1243E+002
212.8750,-4.1119E+002
212.9167,-4.1000E+002
212.9583,-4.0856E+002
213.0000,-4.0673E+002
213.0417,-4.0501E+002
213.0833,-4.0307E+002
213.1250,-4.0107E+002
213.1667,-3.9930E+002
213.2083,-3.9744E+002
213.2500,-3.9577E+002
213.2917,-3.9411E+002
213.3333,-3.9389E+002
213.3750,-3.9449E+002
213.4167,-3.9642E+002
213.4583,-3.9874E+002
213.5000,-4.0044E+002
213.5417,-4.0303E+002
213.5833,-4.0640E+002
213.6250,-4.0879E+002
213.6667,-4.1206E+002
213.7083,-4.1494E+002
213.7500,-4.1672E+002
213.7917,-4.1759E+002
213.8333,-4.1792E+002
213.8750,-4.1737E+002
213.9167,-4.1704E+002
213.9583,-4.1640E+002
214.0000,-4.1546E+002
214.0417,-4.1451E+002
214.0833,-4.1290E+002
214.1250,-4.1270E+002
214.1667,-4.1092E+002
214.2083,-4.1086E+002
214.2500,-4.0956E+002
214.2917,-4.0832E+002
214.3333,-4.0707E+002
214.3750,-4.0779E+002
214.4167,-4.0812E+002
214.4583,-4.0881E+002
214.5000,-4.1015E+002
214.5417,-4.1237E+002
214.5833,-4.1403E+002
214.6250,-4.1567E+002
214.6667,-4.1757E+002
214.7083,-4.1812E+002
214.7500,-4.1784E+002
214.7917,-4.1795E+002
214.8333,-4.1717E+002
214.8750,-4.1572E+002
214.9167,-4.1088E+002
214.9583,-4.1200E+002
215.0000,-4.0995E+002
215.0417,-4.0793E+002
215.0833,-4.0577E+002
215.1250,-4.0412E+002
215.1667,-4.0251E+002
215.2083,-4.0118E+002
215.2500,-3.9987E+002
215.2917,-3.9858E+002
215.3333,-3.9782E+002
215.3750,-3.9755E+002
215.4167,-3.9773E+002
215.4583,-3.9814E+002
215.5000,-3.9878E+002
215.5417,-4.0070E+002
215.5833,-4.0246E+002
215.6250,-4.0431E+002
215.6667,-4.0586E+002
215.7083,-4.0581E+002
215.7500,-4.0350E+002
215.7917,-4.0200E+002
215.8333,-4.0080E+002
215.8750,-3.9928E+002
215.9167,-3.9649E+002
215.9583,-3.9588E+002
216.0000,-3.9412E+002
216.0417,-3.9014E+002
216.0833,-3.9117E+002
216.1250,-3.9288E+002
216.1667,-3.9180E+002
216.2083,-3.9083E+002
216.2500,-3.8976E+002
216.2917,-3.8879E+002
216.3333,-3.8793E+002
216.3750,-3.8807E+002
216.4167,-3.8909E+002
216.4583,-3.9059E+002
216.5000,-3.9340E+002
216.5417,-3.9618E+002
216.5833,-3.9756E+002
216.6250,-3.9833E+002
216.6667,-4.0031E+002
216.7083,-4.0183E+002
216.7500,-4.0271E+002
216.7917,-4.0340E+002
216.8333,-4.0295E+002
216.8750,-4.0149E+002
216.9167,-3.9666E+002
216.9583,-3.9125E+002
217.0000,-3.8788E+002
