"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
203.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.3363E-003,-4.0324E-003,-1.8509E-003,-2.5504E-003,-3.0427E-003,-3.0427E-003
203.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.3160E-004,-1.5927E-004,-1.7980E-004,-2.0495E-004,-2.4552E-004,-2.4552E-004
203.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5140E-004,-1.5824E-004,-1.6537E-004,-1.8372E-004,-2.2040E-004,-2.2040E-004
203.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.1530E-004,-2.0967E-004,-2.0887E-004,-2.2412E-004,-2.6386E-004,-2.6386E-004
203.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.3066E-004,-2.6413E-004,-2.7829E-004,-2.9626E-004,-3.3118E-004,-3.3118E-004
203.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.5004E-005,-7.3982E-005,-7.2099E-005,-6.8355E-005,-6.5817E-005,-6.5817E-005
203.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.7306E-005,-8.9064E-005,-9.7683E-005,-1.1121E-004,-1.3468E-004,-1.3468E-004
203.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.0219E-005,-9.0647E-005,-9.9406E-005,-1.1439E-004,-1.4108E-004,-1.4108E-004
203.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2943E-005,-2.7883E-005,-3.0712E-005,-3.4341E-005,-4.0108E-005,-4.0108E-005
203.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9725E-005,2.5283E-005,2.2876E-005,2.1302E-005,2.0037E-005,2.0037E-005
203.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2814E-005,4.0006E-005,3.8096E-005,3.7812E-005,3.8939E-005,3.8939E-005
203.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1418E-004,1.0920E-004,1.1085E-004,1.1950E-004,1.3771E-004,1.3771E-004
203.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8155E-005,5.4611E-005,5.4775E-005,5.8115E-005,6.5793E-005,6.5793E-005
203.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.9473E-005,8.3965E-005,8.5331E-005,9.2239E-005,1.0502E-004,1.0502E-004
203.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0046E-004,5.4575E-005,3.6377E-005,2.8406E-005,2.5025E-005,2.5025E-005
203.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3716E-005,8.8315E-005,1.0561E-004,1.3213E-004,1.6620E-004,1.6620E-004
203.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1693E-005,3.6850E-005,3.4595E-005,3.3794E-005,3.3601E-005,3.3601E-005
203.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7424E-007,-1.6856E-005,-2.6489E-005,-3.5826E-005,-4.8320E-005,-4.8320E-005
203.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.3837E-004,-1.2442E-004,-1.2641E-004,-1.4761E-004,-1.9261E-004,-1.9261E-004
203.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5711E-006,3.2746E-006,2.2649E-006,1.5715E-006,8.5524E-007,8.5524E-007
203.8750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.1367E-005,-3.6188E-005,-3.9044E-005,-4.3708E-005,-5.1728E-005,-5.1728E-005
203.9167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.9672E-005,-1.0176E-004,-1.1090E-004,-1.2616E-004,-1.5358E-004,-1.5358E-004
203.9583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.4617E-005,-1.0158E-004,-9.8520E-005,-9.6444E-005,-9.6661E-005,-9.6661E-005
204.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.4218E-004,-1.6010E-004,-1.7598E-004,-2.0299E-004,-2.4999E-004,-2.4999E-004
204.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.5969E-005,-7.8723E-005,-8.7283E-005,-9.8843E-005,-1.1737E-004,-1.1737E-004
204.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.2737E-005,-7.5533E-005,-8.4246E-005,-9.5660E-005,-1.1362E-004,-1.1362E-004
204.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.3514E-005,-7.5061E-005,-8.3711E-005,-9.5924E-005,-1.1549E-004,-1.1549E-004
204.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.6057E-005,-6.5000E-005,-7.2194E-005,-8.2957E-005,-1.0062E-004,-1.0062E-004
204.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.7833E-005,-8.8861E-005,-9.5070E-005,-1.0934E-004,-1.3552E-004,-1.3552E-004
204.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.4957E-004,-1.4454E-004,-1.4935E-004,-1.6746E-004,-2.0235E-004,-2.0235E-004
204.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.9497E-004,-1.6388E-004,-1.5810E-004,-1.6996E-004,-2.0001E-004,-2.0001E-004
204.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.9613E-005,-8.0072E-005,-7.1883E-005,-6.6548E-005,-6.5741E-005,-6.5741E-005
204.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.0118E-005,-1.0045E-005,-9.0662E-006,-8.6049E-006,-8.6910E-006,-8.6910E-006
204.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5992E-005,3.2784E-005,2.6505E-005,2.2524E-005,1.8931E-005,1.8931E-005
204.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1728E-005,6.9979E-005,6.3391E-005,6.1529E-005,6.4283E-005,6.4283E-005
204.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0954E-006,8.0131E-006,7.7950E-006,7.8260E-006,7.9966E-006,7.9966E-006
204.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1861E-004,1.1463E-004,1.2834E-004,1.5188E-004,1.9144E-004,1.9144E-004
204.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0830E-005,8.5896E-005,8.9516E-005,9.9976E-005,1.1890E-004,1.1890E-004
204.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5796E-004,3.4748E-004,3.9163E-004,4.8336E-004,6.6490E-004,6.6490E-004
204.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2719E-004,2.5190E-004,2.3952E-004,2.5794E-004,3.1701E-004,3.1701E-004
204.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2358E-004,9.8908E-005,9.2616E-005,9.4591E-005,1.0295E-004,1.0295E-004
204.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9000E-005,-4.0488E-006,-3.1428E-005,-5.3138E-005,-8.3881E-005,-8.3881E-005
204.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2877E-005,1.1836E-005,1.2075E-005,1.3451E-005,1.6219E-005,1.6219E-005
204.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.9126E-005,-8.6022E-005,-9.1941E-005,-1.0432E-004,-1.2817E-004,-1.2817E-004
