"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
203.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5390E-005,1.5390E-005,1.5390E-005,1.5390E-005,1.5390E-005,0.0000E+000
203.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3328E-005,1.3328E-005,1.3328E-005,1.3328E-005,1.3328E-005,0.0000E+000
203.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9432E-006,1.9432E-006,1.9432E-006,1.9432E-006,1.9432E-006,0.0000E+000
203.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8101E-007,6.8101E-007,6.8101E-007,6.8101E-007,6.8101E-007,0.0000E+000
203.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6235E-006,3.6235E-006,3.6235E-006,3.6235E-006,3.6235E-006,2.0680E-025
203.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9422E-006,4.9422E-006,4.9422E-006,4.9422E-006,4.9422E-006,0.0000E+000
203.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7971E-006,8.7971E-006,8.7971E-006,8.7971E-006,8.7971E-006,0.0000E+000
203.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0712E-006,5.0712E-006,5.0712E-006,5.0712E-006,5.0712E-006,0.0000E+000
203.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2976E-006,2.2976E-006,2.2976E-006,2.2976E-006,2.2976E-006,0.0000E+000
203.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2610E-006,1.9479E-006,1.7307E-006,1.6107E-006,1.5645E-006,0.0000E+000
203.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0811E-005,9.6322E-006,8.5593E-006,7.9803E-006,7.8551E-006,0.0000E+000
203.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7972E-006,5.5788E-006,5.0718E-006,5.0905E-006,5.5926E-006,4.1359E-025
203.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4183E-005,3.7711E-005,3.4442E-005,3.3671E-005,3.5313E-005,0.0000E+000
203.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1232E-005,9.4705E-006,8.5423E-006,8.2692E-006,8.5531E-006,0.0000E+000
203.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.7345E-005,4.4964E-005,2.7401E-005,2.0560E-005,1.8512E-005,0.0000E+000
203.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5184E-006,6.2379E-006,6.0476E-006,6.4074E-006,7.1587E-006,0.0000E+000
