"",0.300
203.0000,0.0000E+000
203.0417,0.0000E+000
203.0833,0.0000E+000
203.1250,0.0000E+000
203.1667,0.0000E+000
203.2083,0.0000E+000
203.2500,7.8878E-001
203.2917,9.3931E+000
203.3333,1.8127E+001
203.3750,6.7686E+001
203.4167,3.6732E+002
203.4583,4.5470E+002
203.5000,5.1636E+002
203.5417,5.6058E+002
203.5833,5.6500E+002
203.6250,4.6205E+002
203.6667,4.5303E+002
203.7083,3.5076E+002
203.7500,1.0765E+002
203.7917,8.7405E+001
203.8333,4.6408E+001
203.8750,1.6983E+000
203.9167,0.0000E+000
203.9583,0.0000E+000
204.0000,0.0000E+000
204.0417,0.0000E+000
204.0833,0.0000E+000
204.1250,0.0000E+000
204.1667,0.0000E+000
204.2083,0.0000E+000
204.2500,6.5536E-001
204.2917,9.1008E+000
204.3333,1.7951E+001
204.3750,4.8376E+001
204.4167,3.6250E+002
204.4583,4.3971E+002
204.5000,5.1865E+002
204.5417,5.5711E+002
204.5833,4.8007E+002
204.6250,3.5791E+002
204.6667,4.7662E+002
204.7083,3.8450E+002
204.7500,1.0873E+002
204.7917,2.5489E+001
204.8333,1.6538E+001
204.8750,5.4932E-001
204.9167,0.0000E+000
204.9583,0.0000E+000
205.0000,0.0000E+000
205.0417,0.0000E+000
205.0833,0.0000E+000
205.1250,0.0000E+000
205.1667,0.0000E+000
205.2083,0.0000E+000
205.2500,1.6576E-001
205.2917,2.6835E+001
205.3333,5.9883E+001
205.3750,1.0990E+002
205.4167,1.7534E+002
205.4583,1.6814E+002
205.5000,1.1553E+002
205.5417,2.2956E+002
205.5833,5.4543E+002
205.6250,5.2629E+002
205.6667,3.9589E+002
205.7083,1.6491E+002
205.7500,7.9936E+001
205.7917,5.2916E+001
205.8333,1.0114E+001
205.8750,7.3186E-001
205.9167,0.0000E+000
205.9583,0.0000E+000
206.0000,0.0000E+000
206.0417,0.0000E+000
206.0833,0.0000E+000
206.1250,0.0000E+000
206.1667,0.0000E+000
206.2083,0.0000E+000
206.2500,1.0594E-001
206.2917,2.5301E+001
206.3333,5.6595E+001
206.3750,8.8782E+001
206.4167,1.8150E+002
206.4583,4.0286E+002
206.5000,1.2284E+002
206.5417,5.6824E+002
206.5833,2.6379E+002
206.6250,2.5815E+002
206.6667,3.8841E+002
206.7083,1.1681E+002
206.7500,9.4936E+001
206.7917,5.5765E+001
206.8333,1.4616E+001
206.8750,2.1705E-001
206.9167,0.0000E+000
206.9583,0.0000E+000
207.0000,0.0000E+000
207.0417,0.0000E+000
207.0833,0.0000E+000
207.1250,0.0000E+000
207.1667,0.0000E+000
207.2083,0.0000E+000
207.2500,1.6765E-001
207.2917,1.9024E+001
207.3333,5.1215E+001
207.3750,9.7539E+001
207.4167,1.3098E+002
207.4583,7.0037E+001
207.5000,1.5624E+002
207.5417,2.9415E+002
207.5833,1.2777E+002
207.6250,5.6935E+002
207.6667,2.9422E+002
207.7083,3.9276E+002
207.7500,1.3451E+002
207.7917,4.2900E+001
