"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0680E+001,2.0680E+001,2.0602E+001,2.0518E+001,2.0506E+001,2.0497E+001
203.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9648E+001,1.9639E+001,1.9630E+001,1.9623E+001,1.9616E+001,1.9610E+001
203.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8769E+001,1.8767E+001,1.8765E+001,1.8762E+001,1.8760E+001,1.8758E+001
203.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8210E+001,1.8208E+001,1.8205E+001,1.8201E+001,1.8198E+001,1.8195E+001
203.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7722E+001,1.7719E+001,1.7715E+001,1.7710E+001,1.7706E+001,1.7702E+001
203.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7122E+001,1.7121E+001,1.7120E+001,1.7118E+001,1.7117E+001,1.7115E+001
203.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6534E+001,1.6533E+001,1.6531E+001,1.6529E+001,1.6528E+001,1.6526E+001
203.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5948E+001,1.5947E+001,1.5945E+001,1.5944E+001,1.5942E+001,1.5941E+001
203.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5509E+001,1.5508E+001,1.5507E+001,1.5505E+001,1.5503E+001,1.5502E+001
203.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5346E+001,1.5346E+001,1.5346E+001,1.5346E+001,1.5346E+001,1.5346E+001
203.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5705E+001,1.5707E+001,1.5710E+001,1.5714E+001,1.5717E+001,1.5720E+001
203.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6527E+001,1.6527E+001,1.6528E+001,1.6530E+001,1.6531E+001,1.6532E+001
203.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7477E+001,1.7480E+001,1.7482E+001,1.7485E+001,1.7488E+001,1.7491E+001
203.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8426E+001,1.8428E+001,1.8430E+001,1.8432E+001,1.8433E+001,1.8435E+001
203.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9300E+001,1.9314E+001,1.9327E+001,1.9342E+001,1.9359E+001,1.9378E+001
203.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0097E+001,2.0098E+001,2.0098E+001,2.0099E+001,2.0099E+001,2.0100E+001
203.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0768E+001,2.0771E+001,2.0773E+001,2.0776E+001,2.0779E+001,2.0781E+001
203.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1277E+001,2.1277E+001,2.1277E+001,2.1277E+001,2.1277E+001,2.1277E+001
203.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1361E+001,2.1360E+001,2.1358E+001,2.1357E+001,2.1356E+001,2.1354E+001
203.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1066E+001,2.1065E+001,2.1064E+001,2.1063E+001,2.1062E+001,2.1062E+001
203.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0940E+001,2.0937E+001,2.0934E+001,2.0930E+001,2.0926E+001,2.0922E+001
203.8750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0597E+001,2.0596E+001,2.0596E+001,2.0595E+001,2.0594E+001,2.0593E+001
203.9167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0181E+001,2.0179E+001,2.0178E+001,2.0176E+001,2.0174E+001,2.0172E+001
203.9583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9690E+001,1.9689E+001,1.9688E+001,1.9686E+001,1.9685E+001,1.9683E+001
204.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8935E+001,1.8933E+001,1.8930E+001,1.8927E+001,1.8924E+001,1.8921E+001
204.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8145E+001,1.8144E+001,1.8143E+001,1.8142E+001,1.8141E+001,1.8140E+001
204.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7453E+001,1.7452E+001,1.7451E+001,1.7450E+001,1.7448E+001,1.7447E+001
204.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6802E+001,1.6801E+001,1.6800E+001,1.6799E+001,1.6797E+001,1.6796E+001
204.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6227E+001,1.6227E+001,1.6226E+001,1.6225E+001,1.6224E+001,1.6223E+001
204.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5897E+001,1.5895E+001,1.5893E+001,1.5891E+001,1.5889E+001,1.5887E+001
204.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5610E+001,1.5609E+001,1.5608E+001,1.5607E+001,1.5606E+001,1.5605E+001
204.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5388E+001,1.5386E+001,1.5385E+001,1.5383E+001,1.5381E+001,1.5379E+001
204.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5220E+001,1.5219E+001,1.5217E+001,1.5215E+001,1.5213E+001,1.5212E+001
204.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5150E+001,1.5150E+001,1.5150E+001,1.5150E+001,1.5150E+001,1.5150E+001
204.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5499E+001,1.5505E+001,1.5513E+001,1.5523E+001,1.5533E+001,1.5541E+001
204.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6367E+001,1.6369E+001,1.6371E+001,1.6374E+001,1.6377E+001,1.6379E+001
204.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7409E+001,1.7413E+001,1.7417E+001,1.7423E+001,1.7429E+001,1.7435E+001
204.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8428E+001,1.8429E+001,1.8429E+001,1.8429E+001,1.8430E+001,1.8430E+001
204.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9402E+001,1.9403E+001,1.9405E+001,1.9407E+001,1.9409E+001,1.9411E+001
204.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0275E+001,2.0285E+001,2.0294E+001,2.0302E+001,2.0310E+001,2.0316E+001
204.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0990E+001,2.0993E+001,2.0996E+001,2.0999E+001,2.1002E+001,2.1004E+001
204.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1467E+001,2.1468E+001,2.1469E+001,2.1469E+001,2.1469E+001,2.1469E+001
204.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1712E+001,2.1712E+001,2.1712E+001,2.1712E+001,2.1712E+001,2.1712E+001
204.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1669E+001,2.1669E+001,2.1668E+001,2.1668E+001,2.1668E+001,2.1668E+001
204.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1585E+001,2.1584E+001,2.1583E+001,2.1582E+001,2.1580E+001,2.1579E+001
204.8750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1322E+001,2.1320E+001,2.1317E+001,2.1314E+001,2.1311E+001,2.1308E+001
204.9167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0883E+001,2.0882E+001,2.0880E+001,2.0879E+001,2.0877E+001,2.0876E+001
