"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
203.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3422E-002,1.0304E-001,1.3293E-001,1.6511E-001,1.8747E-001,2.0242E-001
203.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6971E-002,4.2674E-002,4.6925E-002,4.9882E-002,5.1843E-002,5.3237E-002
203.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8074E-002,3.2277E-002,3.5296E-002,3.7474E-002,3.9033E-002,4.0215E-002
203.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3815E-002,1.5954E-002,1.7227E-002,1.8023E-002,1.8542E-002,1.8915E-002
203.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2004E-002,4.5478E-002,4.7907E-002,4.9345E-002,5.0131E-002,5.0611E-002
203.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7436E-002,4.2229E-002,4.5973E-002,4.8767E-002,5.0783E-002,5.2304E-002
203.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1450E-002,3.5759E-002,3.8878E-002,4.1036E-002,4.2477E-002,4.3508E-002
203.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4076E-002,3.8917E-002,4.2482E-002,4.5037E-002,4.6820E-002,4.8141E-002
203.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3364E-002,2.6193E-002,2.8257E-002,2.9652E-002,3.0545E-002,3.1158E-002
203.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5579E-002,4.2036E-002,4.7395E-002,5.1712E-002,5.5070E-002,5.7755E-002
203.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4767E-002,6.2971E-002,7.0212E-002,7.6323E-002,8.1149E-002,8.4995E-002
203.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9710E-002,7.2085E-002,8.2584E-002,9.1369E-002,9.8487E-002,1.0435E-001
203.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.7010E-002,1.1508E-001,1.2947E-001,1.4070E-001,1.4924E-001,1.5600E-001
203.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2694E-001,1.7376E-001,2.1405E-001,2.5283E-001,2.9125E-001,3.2776E-001
203.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0884E-002,8.2557E-002,9.2538E-002,1.0045E-001,1.0623E-001,1.1057E-001
203.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7062E-002,5.8547E-002,6.7996E-002,7.6298E-002,8.3385E-002,8.9348E-002
203.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7725E-002,4.3101E-002,4.7551E-002,5.0979E-002,5.3454E-002,5.5314E-002
203.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9197E-002,7.6121E-002,9.2099E-002,1.0640E-001,1.1893E-001,1.2987E-001
203.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2550E-002,7.1472E-002,7.6988E-002,8.0319E-002,8.2260E-002,8.3487E-002
203.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4126E-002,3.9258E-002,4.3188E-002,4.6152E-002,4.8327E-002,4.9996E-002
203.8750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1063E-002,3.5706E-002,3.9216E-002,4.1823E-002,4.3726E-002,4.5193E-002
203.9167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9334E-002,3.4113E-002,3.7552E-002,4.0011E-002,4.1758E-002,4.3080E-002
203.9583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5534E-002,3.9035E-002,4.1788E-002,4.3836E-002,4.5297E-002,4.6393E-002
204.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3661E-002,6.1298E-002,6.7177E-002,7.1606E-002,7.4868E-002,7.7386E-002
204.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4631E-002,5.0550E-002,5.4990E-002,5.8213E-002,6.0487E-002,6.2186E-002
204.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3482E-002,4.9664E-002,5.4321E-002,5.7748E-002,6.0208E-002,6.2070E-002
204.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3942E-002,6.0752E-002,6.6082E-002,7.0111E-002,7.3053E-002,7.5301E-002
204.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3462E-002,6.0651E-002,6.6201E-002,7.0387E-002,7.3454E-002,7.5805E-002
204.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6229E-002,3.0111E-002,3.2757E-002,3.4565E-002,3.5771E-002,3.6632E-002
204.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2039E-002,3.5407E-002,3.7714E-002,3.9223E-002,4.0173E-002,4.0819E-002
204.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9934E-002,2.2892E-002,2.4756E-002,2.6006E-002,2.6843E-002,2.7442E-002
204.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8709E-002,2.0816E-002,2.2383E-002,2.3630E-002,2.4636E-002,2.5469E-002
204.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7263E-002,5.2561E-002,5.7256E-002,6.1101E-002,6.3990E-002,6.6194E-002
204.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7807E-002,7.1239E-002,8.2198E-002,9.0805E-002,9.7295E-002,1.0237E-001
204.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3339E-002,5.1054E-002,5.7608E-002,6.2964E-002,6.7150E-002,7.0496E-002
204.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9361E-002,1.2273E-001,1.6782E-001,2.1193E-001,2.5098E-001,2.8428E-001
204.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4110E-001,1.6059E-001,1.7373E-001,1.8221E-001,1.8764E-001,1.9146E-001
204.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8034E-002,6.8448E-002,7.6540E-002,8.2516E-002,8.6741E-002,8.9892E-002
204.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6626E-002,8.9875E-002,1.0810E-001,1.2308E-001,1.3534E-001,1.4557E-001
204.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4772E-002,6.8409E-002,7.7237E-002,8.2941E-002,8.6681E-002,8.9372E-002
204.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9379E-002,7.9086E-002,9.4705E-002,1.0753E-001,1.1813E-001,1.2706E-001
204.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9476E-002,5.8683E-002,6.5612E-002,7.0510E-002,7.3849E-002,7.6274E-002
204.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4048E-002,2.8591E-002,3.1723E-002,3.4034E-002,3.5780E-002,3.7166E-002
204.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8224E-002,2.1011E-002,2.2878E-002,2.4123E-002,2.4945E-002,2.5530E-002
204.8750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7036E-002,3.0597E-002,3.3437E-002,3.5775E-002,3.7678E-002,3.9250E-002
204.9167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9474E-002,3.3325E-002,3.6201E-002,3.8147E-002,3.9407E-002,4.0298E-002
204.9583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6299E-002,3.0496E-002,3.3785E-002,3.6314E-002,3.8200E-002,3.9658E-002
205.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8761E-002,3.3285E-002,3.6606E-002,3.8984E-002,4.0656E-002,4.1905E-002
205.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8052E-002,2.1219E-002,2.3263E-002,2.4552E-002,2.5365E-002,2.5933E-002
205.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2717E-002,2.8310E-002,3.2887E-002,3.6787E-002,4.0080E-002,4.2873E-002
205.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1395E-002,2.2835E-002,2.3606E-002,2.3949E-002,2.4146E-002,2.4282E-002
205.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9593E-002,2.6126E-002,3.1707E-002,3.6961E-002,4.1849E-002,4.6224E-002
205.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7081E-002,2.0135E-002,2.1893E-002,2.2685E-002,2.3006E-002,2.3187E-002
205.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6406E-003,4.6861E-003,4.7061E-003,4.7190E-003,4.7264E-003,4.7307E-003
205.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6975E-003,1.6998E-003,1.7018E-003,1.7033E-003,1.7042E-003,1.7046E-003
205.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6665E-004,2.2446E-004,2.6373E-004,2.7514E-004,2.7626E-004,2.7651E-004
205.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.4078E-004,-6.7130E-004,-7.4025E-004,-7.6509E-004,-7.7266E-004,-7.7519E-004
205.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.6464E-004,3.8363E-004,5.3167E-003,2.7572E-002,9.8675E-002,2.0457E-001
205.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1246E-002,9.2983E-002,1.5986E-001,2.8306E-001,4.3724E-001,5.8938E-001
205.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2557E-002,5.4578E-002,6.6751E-002,8.5439E-002,1.1380E-001,1.4584E-001
205.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9922E-002,3.4967E-002,3.9432E-002,4.3554E-002,4.7495E-002,5.1162E-002
