"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
203.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2982E-002,-1.6546E-002,-1.8201E-002,-1.8920E-002,-1.9275E-002,-1.9460E-002
203.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.6339E-003,-7.4467E-003,-7.8470E-003,-8.0530E-003,-8.1502E-003,-8.1976E-003
203.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.4729E-003,-3.8748E-003,-4.1156E-003,-4.2502E-003,-4.3153E-003,-4.3472E-003
203.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.4033E-003,-3.7399E-003,-3.9178E-003,-4.0123E-003,-4.0570E-003,-4.0785E-003
203.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.7654E-003,-2.9911E-003,-3.1427E-003,-3.2287E-003,-3.2699E-003,-3.2896E-003
203.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.3479E-003,-3.6396E-003,-3.8263E-003,-3.9318E-003,-3.9826E-003,-4.0070E-003
203.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.6070E-003,-3.8975E-003,-4.0722E-003,-4.1708E-003,-4.2192E-003,-4.2430E-003
203.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2622E-003,-3.5925E-003,-3.7932E-003,-3.9066E-003,-3.9620E-003,-3.9893E-003
203.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.5150E-003,-3.7270E-003,-3.8687E-003,-3.9515E-003,-3.9922E-003,-4.0122E-003
203.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.5348E-003,-4.0880E-003,-4.4622E-003,-4.6782E-003,-4.7831E-003,-4.8338E-003
203.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.0123E-003,-3.3094E-003,-3.5239E-003,-3.6551E-003,-3.7212E-003,-3.7540E-003
203.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.9615E-003,-4.8322E-003,-5.3847E-003,-5.7003E-003,-5.8572E-003,-5.9366E-003
203.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.8416E-003,-4.7680E-003,-5.3267E-003,-5.6362E-003,-5.7885E-003,-5.8659E-003
203.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.9061E-003,-8.6445E-003,-9.9568E-003,-1.0609E-002,-1.0941E-002,-1.1126E-002
203.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1880E-002,-1.3645E-002,-1.4697E-002,-1.5304E-002,-1.5612E-002,-1.5772E-002
203.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.3493E-003,-8.0024E-003,-8.9547E-003,-9.5075E-003,-9.8028E-003,-9.9668E-003
203.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.3772E-003,-5.8107E-003,-6.1196E-003,-6.3080E-003,-6.4034E-003,-6.4514E-003
203.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2838E-003,-4.0618E-003,-4.4315E-003,-4.6136E-003,-4.6988E-003,-4.7405E-003
203.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.8844E-003,-1.0124E-002,-1.1056E-002,-1.1495E-002,-1.1696E-002,-1.1796E-002
203.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.1333E-003,-6.9201E-003,-7.4037E-003,-7.6783E-003,-7.8134E-003,-7.8805E-003
203.8750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2263E-003,-3.5114E-003,-3.6868E-003,-3.7840E-003,-3.8305E-003,-3.8530E-003
203.9167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.2264E-003,-3.5735E-003,-3.7609E-003,-3.8620E-003,-3.9106E-003,-3.9345E-003
203.9583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.7941E-003,-2.9937E-003,-3.1297E-003,-3.2078E-003,-3.2453E-003,-3.2633E-003
204.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.0680E-003,-3.6964E-003,-4.0445E-003,-4.2339E-003,-4.3263E-003,-4.3722E-003
204.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.3425E-003,-3.5698E-003,-3.7146E-003,-3.7973E-003,-3.8376E-003,-3.8573E-003
204.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.1722E-003,-3.4214E-003,-3.5764E-003,-3.6615E-003,-3.7017E-003,-3.7211E-003
204.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.7740E-003,-3.0515E-003,-3.2249E-003,-3.3228E-003,-3.3704E-003,-3.3936E-003
204.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.9684E-003,-3.2502E-003,-3.4293E-003,-3.5322E-003,-3.5826E-003,-3.6075E-003
204.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.9047E-003,-4.4295E-003,-4.7327E-003,-4.9063E-003,-4.9928E-003,-5.0361E-003
