"",0.300
203.0000,3.0000E-001
203.0069,3.0000E-001
203.0139,3.0000E-001
203.0208,3.0000E-001
203.0278,3.0000E-001
203.0347,3.0000E-001
203.0417,3.0000E-001
203.0486,3.0000E-001
203.0556,3.0000E-001
203.0625,3.0000E-001
203.0694,3.0000E-001
203.0764,3.0000E-001
203.0833,3.0000E-001
203.0903,3.0000E-001
203.0972,3.0000E-001
203.1042,3.0000E-001
203.1111,3.0000E-001
203.1181,3.0000E-001
203.1250,3.0000E-001
203.1319,3.0000E-001
203.1389,3.0000E-001
203.1458,3.0000E-001
203.1528,3.0000E-001
203.1597,3.0000E-001
203.1667,3.0000E-001
203.1736,3.0000E-001
203.1806,3.0000E-001
203.1875,3.0000E-001
203.1944,3.0000E-001
203.2014,3.0000E-001
203.2083,3.0000E-001
203.2153,3.0000E-001
203.2222,3.0000E-001
203.2292,3.0000E-001
203.2361,3.0000E-001
203.2431,3.0000E-001
203.2500,3.0000E-001
203.2569,3.0000E-001
203.2639,3.0000E-001
203.2708,3.0000E-001
203.2778,3.0000E-001
203.2847,3.0000E-001
203.2917,3.0000E-001
203.2986,3.0000E-001
203.3056,3.0000E-001
203.3125,3.0000E-001
203.3194,3.0000E-001
203.3264,3.0000E-001
203.3333,3.0000E-001
203.3403,3.0000E-001
203.3472,3.0000E-001
203.3542,3.0000E-001
203.3611,3.0000E-001
203.3681,3.0000E-001
203.3750,3.0000E-001
203.3819,3.0000E-001
203.3889,3.0000E-001
203.3958,3.0000E-001
203.4028,3.0000E-001
203.4097,3.0000E-001
203.4167,3.0000E-001
203.4236,3.0000E-001
203.4306,3.0000E-001
203.4375,3.0000E-001
203.4444,3.0000E-001
203.4514,3.0000E-001
203.4583,3.0000E-001
203.4653,3.0000E-001
203.4722,3.0000E-001
203.4792,3.0000E-001
203.4861,3.0000E-001
203.4931,3.0000E-001
203.5000,3.0000E-001
203.5069,3.0000E-001
203.5139,3.0000E-001
203.5208,3.0000E-001
203.5278,3.0000E-001
203.5347,3.0000E-001
203.5417,3.0000E-001
203.5486,3.0000E-001
203.5556,3.0000E-001
203.5625,3.0000E-001
203.5694,3.0000E-001
203.5764,3.0000E-001
203.5833,3.0000E-001
203.5903,3.0000E-001
203.5972,3.0000E-001
203.6042,3.0000E-001
203.6111,3.0000E-001
203.6181,3.0000E-001
203.6250,3.0000E-001
203.6319,3.0000E-001
203.6389,3.0000E-001
203.6458,3.0000E-001
203.6528,3.0000E-001
203.6597,3.0000E-001
203.6667,3.0000E-001
203.6736,3.0000E-001
203.6806,3.0000E-001
203.6875,3.0000E-001
203.6944,3.0000E-001
203.7014,3.0000E-001
203.7083,3.0000E-001
203.7153,3.0000E-001
203.7222,3.0000E-001
203.7292,3.0000E-001
203.7361,3.0000E-001
203.7431,3.0000E-001
203.7500,3.0000E-001
203.7569,3.0000E-001
203.7639,3.0000E-001
203.7708,3.0000E-001
203.7778,3.0000E-001
203.7847,3.0000E-001
203.7917,3.0000E-001
203.7986,3.0000E-001
203.8056,3.0000E-001
203.8125,3.0000E-001
203.8194,3.0000E-001
203.8264,3.0000E-001
203.8333,3.0000E-001
203.8403,3.0000E-001
203.8472,3.0000E-001
203.8542,3.0000E-001
203.8611,3.0000E-001
203.8681,3.0000E-001
203.8750,3.0000E-001
203.8819,3.0000E-001
203.8889,3.0000E-001
203.8958,3.0000E-001
203.9028,3.0000E-001
203.9097,3.0000E-001
203.9167,3.0000E-001
203.9236,3.0000E-001
203.9306,3.0000E-001
203.9375,3.0000E-001
203.9444,3.0000E-001
203.9514,3.0000E-001
203.9583,3.0000E-001
203.9653,3.0000E-001
203.9722,3.0000E-001
203.9792,3.0000E-001
203.9861,3.0000E-001
203.9931,3.0000E-001
204.0000,3.0000E-001
204.0069,3.0000E-001
204.0139,3.0000E-001
204.0208,3.0000E-001
204.0278,3.0000E-001
204.0347,3.0000E-001
204.0417,3.0000E-001
204.0486,3.0000E-001
204.0556,3.0000E-001
204.0625,3.0000E-001
204.0694,3.0000E-001
204.0764,3.0000E-001
204.0833,3.0000E-001
204.0903,3.0000E-001
204.0972,3.0000E-001
204.1042,3.0000E-001
204.1111,3.0000E-001
204.1181,3.0000E-001
204.1250,3.0000E-001
204.1319,3.0000E-001
204.1389,3.0000E-001
204.1458,3.0000E-001
204.1528,3.0000E-001
204.1597,3.0000E-001
204.1667,3.0000E-001
204.1736,3.0000E-001
204.1806,3.0000E-001
204.1875,3.0000E-001
204.1944,3.0000E-001
204.2014,3.0000E-001
204.2083,3.0000E-001
204.2153,3.0000E-001
204.2222,3.0000E-001
204.2292,3.0000E-001
204.2361,3.0000E-001
204.2431,3.0000E-001
204.2500,3.0000E-001
204.2569,3.0000E-001
204.2639,3.0000E-001
204.2708,3.0000E-001
204.2778,3.0000E-001
204.2847,3.0000E-001
204.2917,3.0000E-001
204.2986,3.0000E-001
204.3056,3.0000E-001
204.3125,3.0000E-001
204.3194,3.0000E-001
204.3264,3.0000E-001
204.3333,3.0000E-001
204.3403,3.0000E-001
204.3472,3.0000E-001
204.3542,3.0000E-001
204.3611,3.0000E-001
204.3681,3.0000E-001
204.3750,3.0000E-001
204.3819,3.0000E-001
204.3889,3.0000E-001
204.3958,3.0000E-001
204.4028,3.0000E-001
204.4097,3.0000E-001
204.4167,3.0000E-001
204.4236,3.0000E-001
204.4306,3.0000E-001
204.4375,3.0000E-001
204.4444,3.0000E-001
204.4514,3.0000E-001
204.4583,3.0000E-001
204.4653,3.0000E-001
204.4722,3.0000E-001
204.4792,3.0000E-001
204.4861,3.0000E-001
204.4931,3.0000E-001
204.5000,3.0000E-001
204.5069,3.0000E-001
204.5139,3.0000E-001
204.5208,3.0000E-001
204.5278,3.0000E-001
204.5347,3.0000E-001
204.5417,3.0000E-001
204.5486,3.0000E-001
204.5556,3.0000E-001
204.5625,3.0000E-001
204.5694,3.0000E-001
204.5764,3.0000E-001
204.5833,3.0000E-001
204.5903,3.0000E-001
204.5972,3.0000E-001
204.6042,3.0000E-001
204.6111,3.0000E-001
204.6181,3.0000E-001
204.6250,3.0000E-001
204.6319,3.0000E-001
204.6389,3.0000E-001
204.6458,3.0000E-001
204.6528,3.0000E-001
204.6597,3.0000E-001
204.6667,3.0000E-001
204.6736,3.0000E-001
204.6806,3.0000E-001
204.6875,3.0000E-001
204.6944,3.0000E-001
204.7014,3.0000E-001
204.7083,3.0000E-001
204.7153,3.0000E-001
204.7222,3.0000E-001
204.7292,3.0000E-001
204.7361,3.0000E-001
204.7431,3.0000E-001
204.7500,3.0000E-001
204.7569,3.0000E-001
204.7639,3.0000E-001
204.7708,3.0000E-001
204.7778,3.0000E-001
204.7847,3.0000E-001
204.7917,3.0000E-001
204.7986,3.0000E-001
204.8056,3.0000E-001
204.8125,3.0000E-001
204.8194,3.0000E-001
204.8264,3.0000E-001
204.8333,3.0000E-001
204.8403,3.0000E-001
204.8472,3.0000E-001
204.8542,3.0000E-001
204.8611,3.0000E-001
204.8681,3.0000E-001
204.8750,3.0000E-001
204.8819,3.0000E-001
204.8889,3.0000E-001
204.8958,3.0000E-001
204.9028,3.0000E-001
204.9097,3.0000E-001
204.9167,3.0000E-001
204.9236,3.0000E-001
204.9306,3.0000E-001
204.9375,3.0000E-001
204.9444,3.0000E-001
204.9514,3.0000E-001
204.9583,3.0000E-001
204.9653,3.0000E-001
204.9722,3.0000E-001
204.9792,3.0000E-001
204.9861,3.0000E-001
204.9931,3.0000E-001
205.0000,3.0000E-001
205.0069,3.0000E-001
205.0139,3.0000E-001
205.0208,3.0000E-001
205.0278,3.0000E-001
205.0347,3.0000E-001
205.0417,3.0000E-001
205.0486,3.0000E-001
205.0556,3.0000E-001
205.0625,3.0000E-001
205.0694,3.0000E-001
205.0764,3.0000E-001
205.0833,3.0000E-001
205.0903,3.0000E-001
205.0972,3.0000E-001
205.1042,3.0000E-001
205.1111,3.0000E-001
205.1181,3.0000E-001
205.1250,3.0000E-001
205.1319,3.0000E-001
205.1389,3.0000E-001
205.1458,3.0000E-001
205.1528,3.0000E-001
205.1597,3.0000E-001
205.1667,3.0000E-001
205.1736,3.0000E-001
205.1806,3.0000E-001
205.1875,3.0000E-001
205.1944,3.0000E-001
205.2014,3.0000E-001
205.2083,3.0000E-001
205.2153,3.0000E-001
205.2222,3.0000E-001
205.2292,3.0000E-001
205.2361,3.0000E-001
205.2431,3.0000E-001
205.2500,3.0000E-001
205.2569,3.0000E-001
205.2639,3.0000E-001
205.2708,3.0000E-001
205.2778,3.0000E-001
205.2847,3.0000E-001
205.2917,3.0000E-001
205.2986,3.0000E-001
205.3056,3.0000E-001
205.3125,3.0000E-001
205.3194,3.0000E-001
205.3264,3.0000E-001
205.3333,3.0000E-001
205.3403,3.0000E-001
205.3472,3.0000E-001
205.3542,3.0000E-001
205.3611,3.0000E-001
205.3681,3.0000E-001
205.3750,3.0000E-001
205.3819,3.0000E-001
205.3889,3.0000E-001
205.3958,3.0000E-001
205.4028,3.0000E-001
205.4097,3.0000E-001
205.4167,3.0000E-001
205.4236,3.0000E-001
205.4306,3.0000E-001
205.4375,3.0000E-001
205.4444,3.0000E-001
205.4514,3.0000E-001
205.4583,3.0000E-001
205.4653,3.0000E-001
205.4722,3.0000E-001
205.4792,3.0000E-001
205.4861,3.0000E-001
205.4931,3.0000E-001
205.5000,3.0000E-001
205.5069,3.0000E-001
205.5139,3.0000E-001
205.5208,3.0000E-001
205.5278,3.0000E-001
205.5347,3.0000E-001
205.5417,3.0000E-001
205.5486,3.0000E-001
205.5556,3.0000E-001
205.5625,3.0000E-001
205.5694,3.0000E-001
205.5764,3.0000E-001
205.5833,3.0000E-001
205.5903,3.0000E-001
205.5972,3.0000E-001
205.6042,3.0000E-001
205.6111,3.0000E-001
205.6181,3.0000E-001
205.6250,3.0000E-001
205.6319,3.0000E-001
205.6389,3.0000E-001
205.6458,3.0000E-001
205.6528,3.0000E-001
205.6597,3.0000E-001
205.6667,3.0000E-001
205.6736,3.0000E-001
205.6806,3.0000E-001
205.6875,3.0000E-001
205.6944,3.0000E-001
205.7014,3.0000E-001
205.7083,3.0000E-001
205.7153,3.0000E-001
205.7222,3.0000E-001
205.7292,3.0000E-001
205.7361,3.0000E-001
205.7431,3.0000E-001
205.7500,3.0000E-001
205.7569,3.0000E-001
205.7639,3.0000E-001
205.7708,3.0000E-001
205.7778,3.0000E-001
205.7847,3.0000E-001
205.7917,3.0000E-001
205.7986,3.0000E-001
205.8056,3.0000E-001
205.8125,3.0000E-001
205.8194,3.0000E-001
205.8264,3.0000E-001
205.8333,3.0000E-001
205.8403,3.0000E-001
205.8472,3.0000E-001
205.8542,3.0000E-001
205.8611,3.0000E-001
205.8681,3.0000E-001
205.8750,3.0000E-001
205.8819,3.0000E-001
205.8889,3.0000E-001
205.8958,3.0000E-001
205.9028,3.0000E-001
205.9097,3.0000E-001
205.9167,3.0000E-001
205.9236,3.0000E-001
205.9306,3.0000E-001
205.9375,3.0000E-001
205.9444,3.0000E-001
205.9514,3.0000E-001
205.9583,3.0000E-001
205.9653,3.0000E-001
205.9722,3.0000E-001
205.9792,3.0000E-001
205.9861,3.0000E-001
205.9931,3.0000E-001
206.0000,3.0000E-001
206.0069,3.0000E-001
206.0139,3.0000E-001
206.0208,3.0000E-001
206.0278,3.0000E-001
206.0347,3.0000E-001
206.0417,3.0000E-001
206.0486,3.0000E-001
206.0556,3.0000E-001
206.0625,3.0000E-001
206.0694,3.0000E-001
206.0764,3.0000E-001
206.0833,3.0000E-001
206.0903,3.0000E-001
206.0972,3.0000E-001
206.1042,3.0000E-001
206.1111,3.0000E-001
206.1181,3.0000E-001
206.1250,3.0000E-001
206.1319,3.0000E-001
206.1389,3.0000E-001
206.1458,3.0000E-001
206.1528,3.0000E-001
206.1597,3.0000E-001
206.1667,3.0000E-001
206.1736,3.0000E-001
206.1806,3.0000E-001
206.1875,3.0000E-001
206.1944,3.0000E-001
206.2014,3.0000E-001
206.2083,3.0000E-001
206.2153,3.0000E-001
206.2222,3.0000E-001
206.2292,3.0000E-001
206.2361,3.0000E-001
206.2431,3.0000E-001
206.2500,3.0000E-001
206.2569,3.0000E-001
206.2639,3.0000E-001
206.2708,3.0000E-001
206.2778,3.0000E-001
206.2847,3.0000E-001
206.2917,3.0000E-001
206.2986,3.0000E-001
206.3056,3.0000E-001
206.3125,3.0000E-001
206.3194,3.0000E-001
206.3264,3.0000E-001
206.3333,3.0000E-001
206.3403,3.0000E-001
206.3472,3.0000E-001
206.3542,3.0000E-001
206.3611,3.0000E-001
206.3681,3.0000E-001
206.3750,3.0000E-001
206.3819,3.0000E-001
206.3889,3.0000E-001
206.3958,3.0000E-001
206.4028,3.0000E-001
206.4097,3.0000E-001
206.4167,3.0000E-001
206.4236,3.0000E-001
206.4306,3.0000E-001
206.4375,3.0000E-001
206.4444,3.0000E-001
206.4514,3.0000E-001
206.4583,3.0000E-001
206.4653,3.0000E-001
206.4722,3.0000E-001
206.4792,3.0000E-001
206.4861,3.0000E-001
206.4931,3.0000E-001
206.5000,3.0000E-001
206.5069,3.0000E-001
206.5139,3.0000E-001
206.5208,3.0000E-001
206.5278,3.0000E-001
206.5347,3.0000E-001
206.5417,3.0000E-001
206.5486,3.0000E-001
206.5556,3.0000E-001
206.5625,3.0000E-001
206.5694,3.0000E-001
206.5764,3.0000E-001
206.5833,3.0000E-001
206.5903,3.0000E-001
206.5972,3.0000E-001
206.6042,3.0000E-001
206.6111,3.0000E-001
206.6181,3.0000E-001
206.6250,3.0000E-001
206.6319,3.0000E-001
206.6389,3.0000E-001
206.6458,3.0000E-001
206.6528,3.0000E-001
206.6597,3.0000E-001
206.6667,3.0000E-001
206.6736,3.0000E-001
206.6806,3.0000E-001
206.6875,3.0000E-001
206.6944,3.0000E-001
206.7014,3.0000E-001
206.7083,3.0000E-001
