"",0.300
202.4410,0.0000E+000
203.4410,0.0000E+000
204.4410,0.0000E+000
205.4410,0.0000E+000
206.4410,0.0000E+000
207.4410,0.0000E+000
208.4410,0.0000E+000
209.4410,0.0000E+000
210.4410,0.0000E+000
211.4410,0.0000E+000
212.4410,0.0000E+000
213.4410,0.0000E+000
214.4410,0.0000E+000
215.4410,0.0000E+000
216.4410,0.0000E+000
217.4410,0.0000E+000
218.4410,0.0000E+000
219.4410,0.0000E+000
220.4410,0.0000E+000
221.4410,0.0000E+000
222.4410,0.0000E+000
223.4410,0.0000E+000
224.4410,0.0000E+000
225.4410,0.0000E+000
226.4410,0.0000E+000
227.4410,0.0000E+000
228.4410,0.0000E+000
229.4410,0.0000E+000
230.4410,0.0000E+000
231.4410,0.0000E+000
232.4410,0.0000E+000
233.4410,0.0000E+000
234.4410,0.0000E+000
235.4410,0.0000E+000
236.4410,0.0000E+000
237.4410,0.0000E+000
238.4410,0.0000E+000
239.4410,0.0000E+000
240.4410,0.0000E+000
241.4410,0.0000E+000
242.4410,0.0000E+000
243.4410,0.0000E+000
244.4410,0.0000E+000
245.4410,0.0000E+000
246.4410,0.0000E+000
247.4410,0.0000E+000
248.4410,0.0000E+000
249.4410,0.0000E+000
250.4410,0.0000E+000
251.4410,0.0000E+000
252.4410,0.0000E+000
253.4410,0.0000E+000
254.4410,0.0000E+000
255.4410,0.0000E+000
256.4410,0.0000E+000
257.4410,0.0000E+000
258.4410,0.0000E+000
259.4410,0.0000E+000
260.4410,0.0000E+000
261.4410,0.0000E+000
262.4410,0.0000E+000
263.4410,0.0000E+000
264.4410,0.0000E+000
265.4410,0.0000E+000
266.4410,0.0000E+000
267.4410,0.0000E+000
268.4410,0.0000E+000
269.4410,0.0000E+000
270.4410,0.0000E+000
271.4410,0.0000E+000
272.4410,0.0000E+000
273.4410,0.0000E+000
274.4410,0.0000E+000
275.4410,0.0000E+000
276.4410,0.0000E+000
277.4410,0.0000E+000
278.4410,0.0000E+000
279.4410,0.0000E+000
280.4410,0.0000E+000
281.4410,0.0000E+000
282.4410,0.0000E+000
283.4410,0.0000E+000
284.4410,0.0000E+000
285.4410,0.0000E+000
286.4410,0.0000E+000
287.4410,0.0000E+000
288.4410,0.0000E+000
289.4410,0.0000E+000
290.4410,0.0000E+000
291.4410,0.0000E+000
292.4410,0.0000E+000
293.4410,0.0000E+000
294.4410,0.0000E+000
295.4410,0.0000E+000
296.4410,0.0000E+000
297.4410,0.0000E+000
298.4410,0.0000E+000
299.4410,0.0000E+000
300.4410,0.0000E+000
301.4410,0.0000E+000
302.4410,0.0000E+000
303.4410,0.0000E+000
304.4410,0.0000E+000
305.4410,0.0000E+000
306.4410,0.0000E+000
307.4410,0.0000E+000
308.4410,0.0000E+000
309.4410,0.0000E+000
310.4410,0.0000E+000
311.4410,0.0000E+000
312.4410,0.0000E+000
313.4410,0.0000E+000
314.4410,0.0000E+000
315.4410,0.0000E+000
316.4410,0.0000E+000
317.4410,0.0000E+000
318.4410,0.0000E+000
319.4410,0.0000E+000
320.4410,0.0000E+000
321.4410,0.0000E+000
322.4410,0.0000E+000
323.4410,0.0000E+000
324.4410,0.0000E+000
325.4410,0.0000E+000
326.4410,0.0000E+000
327.4410,0.0000E+000
328.4410,0.0000E+000
329.4410,0.0000E+000
330.4410,0.0000E+000
331.4410,0.0000E+000
332.4410,0.0000E+000
333.4410,0.0000E+000
334.4410,0.0000E+000
335.4410,0.0000E+000
336.4410,0.0000E+000
337.4410,0.0000E+000
338.4410,0.0000E+000
339.4410,0.0000E+000
340.4410,0.0000E+000
341.4410,0.0000E+000
342.4410,0.0000E+000
343.4410,0.0000E+000
344.4410,0.0000E+000
345.4410,0.0000E+000
346.4410,0.0000E+000
347.4410,0.0000E+000
348.4410,0.0000E+000
349.4410,0.0000E+000
350.4410,0.0000E+000
351.4410,0.0000E+000
352.4410,0.0000E+000
353.4410,0.0000E+000
354.4410,0.0000E+000
355.4410,0.0000E+000
356.4410,0.0000E+000
357.4410,0.0000E+000
358.4410,0.0000E+000
359.4410,0.0000E+000
360.4410,0.0000E+000
361.4410,0.0000E+000
362.4410,0.0000E+000
363.4410,0.0000E+000
364.4410,0.0000E+000
365.4410,0.0000E+000
366.4410,0.0000E+000
367.4410,0.0000E+000
368.4410,0.0000E+000
369.4410,0.0000E+000
370.4410,0.0000E+000
371.4410,0.0000E+000
372.4410,0.0000E+000
373.4410,0.0000E+000
374.4410,0.0000E+000
375.4410,0.0000E+000
376.4410,0.0000E+000
377.4410,0.0000E+000
378.4410,0.0000E+000
379.4410,0.0000E+000
380.4410,0.0000E+000
381.4410,0.0000E+000
382.4410,0.0000E+000
383.4410,0.0000E+000
384.4410,0.0000E+000
385.4410,0.0000E+000
386.4410,0.0000E+000
387.4410,0.0000E+000
388.4410,0.0000E+000
389.4410,0.0000E+000
390.4410,0.0000E+000
391.4410,0.0000E+000
392.4410,0.0000E+000
393.4410,0.0000E+000
394.4410,0.0000E+000
395.4410,0.0000E+000
396.4410,0.0000E+000
397.4410,0.0000E+000
398.4410,0.0000E+000
399.4410,0.0000E+000
400.4410,0.0000E+000
401.4410,0.0000E+000
402.4410,0.0000E+000
403.4410,0.0000E+000
404.4410,0.0000E+000
405.4410,0.0000E+000
406.4410,0.0000E+000
407.4410,0.0000E+000
408.4410,0.0000E+000
409.4410,0.0000E+000
410.4410,0.0000E+000
411.4410,0.0000E+000
412.4410,0.0000E+000
413.4410,0.0000E+000
414.4410,0.0000E+000
415.4410,0.0000E+000
416.4410,0.0000E+000
417.4410,0.0000E+000
418.4410,0.0000E+000
419.4410,0.0000E+000
420.4410,0.0000E+000
421.4410,0.0000E+000
422.4410,0.0000E+000
423.4410,0.0000E+000
424.4410,0.0000E+000
425.4410,0.0000E+000
426.4410,0.0000E+000
427.4410,0.0000E+000
428.4410,0.0000E+000
429.4410,0.0000E+000
430.4410,0.0000E+000
431.4410,0.0000E+000
432.4410,0.0000E+000
433.4410,0.0000E+000
434.4410,0.0000E+000
435.4410,0.0000E+000
436.4410,0.0000E+000
437.4410,0.0000E+000
438.4410,0.0000E+000
439.4410,0.0000E+000
440.4410,0.0000E+000
441.4410,0.0000E+000
442.4410,0.0000E+000
443.4410,0.0000E+000
444.4410,0.0000E+000
445.4410,0.0000E+000
446.4410,0.0000E+000
447.4410,0.0000E+000
448.4410,0.0000E+000
449.4410,0.0000E+000
450.4410,0.0000E+000
451.4410,0.0000E+000
452.4410,0.0000E+000
453.4410,0.0000E+000
454.4410,0.0000E+000
455.4410,0.0000E+000
456.4410,0.0000E+000
457.4410,0.0000E+000
458.4410,0.0000E+000
459.4410,0.0000E+000
460.4410,0.0000E+000
461.4410,0.0000E+000
462.4410,0.0000E+000
463.4410,0.0000E+000
464.4410,0.0000E+000
465.4410,0.0000E+000
466.4410,0.0000E+000
467.4410,0.0000E+000
468.4410,0.0000E+000
469.4410,0.0000E+000
470.4410,0.0000E+000
471.4410,0.0000E+000
472.4410,0.0000E+000
473.4410,0.0000E+000
474.4410,0.0000E+000
475.4410,0.0000E+000
476.4410,0.0000E+000
477.4410,0.0000E+000
478.4410,0.0000E+000
479.4410,0.0000E+000
480.4410,0.0000E+000
481.4410,0.0000E+000
482.4410,0.0000E+000
483.4410,0.0000E+000
484.4410,0.0000E+000
485.4410,0.0000E+000
486.4410,0.0000E+000
487.4410,0.0000E+000
488.4410,0.0000E+000
489.4410,0.0000E+000
490.4410,0.0000E+000
491.4410,0.0000E+000
492.4410,0.0000E+000
493.4410,0.0000E+000
494.4410,0.0000E+000
495.4410,0.0000E+000
496.4410,0.0000E+000
497.4410,0.0000E+000
498.4410,0.0000E+000
499.4410,0.0000E+000
500.4410,0.0000E+000
501.4410,0.0000E+000
502.4410,0.0000E+000
503.4410,0.0000E+000
504.4410,0.0000E+000
505.4410,0.0000E+000
506.4410,0.0000E+000
507.4410,0.0000E+000
508.4410,0.0000E+000
509.4410,0.0000E+000
510.4410,0.0000E+000
511.4410,0.0000E+000
512.4410,0.0000E+000
513.4410,0.0000E+000
514.4410,0.0000E+000
515.4410,0.0000E+000
516.4410,0.0000E+000
517.4410,0.0000E+000
518.4410,0.0000E+000
519.4410,0.0000E+000
520.4410,0.0000E+000
521.4410,0.0000E+000
522.4410,0.0000E+000
523.4410,0.0000E+000
524.4410,0.0000E+000
525.4410,0.0000E+000
526.4410,0.0000E+000
527.4410,0.0000E+000
528.4410,0.0000E+000
529.4410,0.0000E+000
530.4410,0.0000E+000
531.4410,0.0000E+000
532.4410,0.0000E+000
533.4410,0.0000E+000
534.4410,0.0000E+000
535.4410,0.0000E+000
536.4410,0.0000E+000
537.4410,0.0000E+000
