"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.0000E-002,-5.0000E-002,-5.0000E-002,-2.6000E-001,-2.8000E-001,-3.0000E-001
203.0069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3403E-013,4.3403E-013,4.3403E-013,4.3403E-013,4.3403E-013,4.3592E-013
203.0139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7261E-010,5.3206E-009,9.9871E-008,1.8887E-006,3.5563E-005,3.5563E-005
203.0208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6497E-008,2.7437E-007,4.0127E-006,2.7339E-005,1.6108E-005,1.6300E-005
203.0278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4557E-007,7.5314E-006,1.8577E-005,9.3622E-006,8.1625E-006,8.2576E-006
203.0347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3062E-005,1.2241E-005,6.7506E-006,7.2227E-006,7.6520E-006,7.7052E-006
203.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6424E-005,2.1843E-005,2.2137E-005,1.4436E-005,8.2716E-006,8.3456E-006
203.0486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0858E-005,1.3818E-005,9.6922E-006,7.7349E-006,6.2655E-006,6.4024E-006
203.0556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2311E-005,6.0610E-006,4.1535E-006,3.3793E-006,3.1239E-006,3.2676E-006
203.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3289E-006,5.1861E-006,3.6560E-006,2.9786E-006,2.7441E-006,2.8169E-006
