"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010
203.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1980E-004,2.0990E-004,2.1024E-004,1.4643E-004,9.1461E-005,9.1461E-005
203.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9881E-005,6.8118E-005,6.6530E-005,6.5038E-005,6.3820E-005,6.3820E-005
203.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1087E-005,4.0545E-005,4.0169E-005,3.9817E-005,3.9514E-005,3.9514E-005
203.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2232E-005,1.4126E-005,1.5355E-005,1.6021E-005,1.6291E-005,1.6291E-005
203.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8789E-005,7.4035E-005,7.0937E-005,6.9462E-005,6.8969E-005,6.8969E-005
203.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1256E-005,6.6410E-005,6.2632E-005,5.9989E-005,5.8449E-005,5.8449E-005
203.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5273E-005,5.4456E-005,5.3656E-005,5.2795E-005,5.2034E-005,5.2034E-005
203.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.0679E-005,5.8468E-005,5.6703E-005,5.5294E-005,5.4314E-005,5.4314E-005
203.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0850E-005,2.9880E-005,2.9023E-005,2.8280E-005,2.7735E-005,2.7735E-005
203.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5431E-005,5.1698E-005,4.8895E-005,4.6898E-005,4.5656E-005,4.5656E-005
203.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6643E-004,1.5592E-004,1.4690E-004,1.3998E-004,1.3563E-004,1.3563E-004
