"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
203.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0487E-005,5.0427E-005,1.1904E-004,1.7761E-004,2.0765E-004,1.9956E-004
203.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4131E-004,3.1568E-004,4.3881E-004,4.9461E-004,4.8939E-004,4.5957E-004
203.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7341E-004,2.9399E-004,3.7785E-004,4.1956E-004,4.2057E-004,3.9950E-004
203.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6751E-005,1.5749E-004,2.1461E-004,2.4671E-004,2.5587E-004,2.4030E-004
203.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7815E-004,9.0451E-004,1.2051E-003,1.4494E-003,1.6137E-003,1.5474E-003
203.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4764E-004,5.4842E-004,6.9245E-004,7.6884E-004,7.7769E-004,7.3461E-004
203.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2471E-004,4.0931E-004,5.3148E-004,5.8576E-004,5.7890E-004,5.4598E-004
203.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6593E-004,4.4477E-004,5.6453E-004,6.2003E-004,6.1660E-004,5.8805E-004
203.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4412E-004,2.5795E-004,3.4580E-004,3.9177E-004,3.9390E-004,3.6697E-004
203.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8430E-005,9.4977E-005,1.1777E-004,1.2694E-004,1.2108E-004,1.1218E-004
203.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5955E-004,5.5589E-004,6.9631E-004,7.6336E-004,7.4893E-004,7.0250E-004
203.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2587E-004,6.4970E-004,8.1940E-004,9.0563E-004,9.0302E-004,8.8126E-004
203.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7200E-004,9.2378E-004,1.2017E-003,1.3363E-003,1.3178E-003,1.2944E-003
203.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8828E-006,4.7567E-005,1.7750E-004,4.5412E-004,8.1890E-004,8.1880E-004
203.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1943E-004,3.8770E-004,5.1001E-004,5.6527E-004,5.3781E-004,5.0285E-004
203.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2148E-005,1.3365E-004,2.0335E-004,2.4303E-004,2.3513E-004,2.3196E-004
203.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3116E-004,2.1720E-004,2.7789E-004,3.0336E-004,2.8759E-004,2.6408E-004
203.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8417E-004,3.7804E-004,5.3054E-004,5.9492E-004,5.8386E-004,5.6336E-004
203.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8877E-004,7.8352E-004,1.0901E-003,1.1570E-003,1.0741E-003,1.0141E-003
203.8333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6518E-005,1.1616E-004,1.3211E-004,1.3447E-004,1.2072E-004,1.0577E-004
203.8750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5777E-004,2.8095E-004,3.6798E-004,4.0935E-004,4.0805E-004,3.7880E-004
203.9167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1678E-004,2.3413E-004,3.1030E-004,3.4249E-004,3.3639E-004,3.1361E-004
203.9583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7892E-004,7.2426E-004,9.1859E-004,1.0409E-003,1.0818E-003,1.0381E-003
204.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1568E-004,6.8800E-004,8.7585E-004,9.6487E-004,9.6479E-004,9.3040E-004
