"",-1.000,-0.950,-0.900,-0.850,-0.800,-0.750,-0.700,-0.650,-0.600,-0.550,-0.500,-0.450,-0.400,-0.350,-0.300,-0.250,-0.200,-0.150,-0.100,-0.050,0.000
203.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000,0.0000E+000
203.0417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7692E-005,4.1530E-005,9.6147E-005,1.4271E-004,1.6656E-004,1.1692E-003
203.0833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1388E-004,2.5266E-004,3.5060E-004,3.9494E-004,3.9076E-004,7.7074E-004
203.1250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3937E-004,2.3506E-004,3.0137E-004,3.3416E-004,3.3473E-004,6.6384E-004
203.1667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2410E-005,1.2631E-004,1.7127E-004,1.9635E-004,2.0334E-004,3.2686E-004
203.2083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6046E-004,7.1681E-004,9.5027E-004,1.1377E-003,1.2616E-003,1.0249E-003
203.2500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7803E-004,4.3750E-004,5.5164E-004,6.1197E-004,6.1875E-004,1.1046E-003
203.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8027E-004,3.2716E-004,4.2430E-004,4.6740E-004,4.6188E-004,6.6946E-004
203.3333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1308E-004,3.5531E-004,4.5043E-004,4.9442E-004,4.9157E-004,7.5752E-004
203.3750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1611E-004,2.0666E-004,2.7649E-004,3.1298E-004,3.1461E-004,4.6450E-004
203.4167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7904E-005,7.7005E-005,9.5151E-005,1.0246E-004,9.7788E-005,1.0053E-003
203.4583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8767E-004,4.4403E-004,5.5587E-004,6.0928E-004,5.9779E-004,1.8822E-003
203.5000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4049E-004,5.1877E-004,6.5402E-004,7.2280E-004,7.2077E-004,1.8685E-003
203.5417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5682E-004,7.3692E-004,9.5823E-004,1.0654E-003,1.0507E-003,2.9228E-003
203.5833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2494E-006,3.9254E-005,1.4271E-004,3.6296E-004,6.5340E-004,3.3808E-003
203.6250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7610E-004,3.1008E-004,4.0747E-004,4.5148E-004,4.2961E-004,2.2763E-003
203.6667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0864E-005,1.0780E-004,1.6331E-004,1.9490E-004,1.8862E-004,1.2399E-003
203.7083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0582E-004,1.7434E-004,2.2267E-004,2.4296E-004,2.3040E-004,9.4992E-004
203.7500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4802E-004,3.0238E-004,4.2380E-004,4.7505E-004,4.6625E-004,1.9685E-003
203.7917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3129E-004,6.2507E-004,8.6888E-004,9.2198E-004,8.5595E-004,1.0726E-003
