wind_speed,swr,Kw,c_relax_C,par_id
0.79108,1.1783,1.2829,0.0087083,p001
1.3791,1.3315,1.2489,0.0022893,p002
0.76133,0.55601,1.1916,0.0082852,p003
1.1721,1.4799,1.2012,0.0092677,p004
0.73634,0.93857,0.70793,0.0057441,p005
1.3189,0.91611,1.329,0.0085928,p006
0.63786,1.2026,0.88466,0.0098494,p007
0.9908,1.2581,1.3746,0.006492,p008
1.1218,0.81894,0.65995,0.0068299,p009
1.952,1.1641,1.1378,0.0026012,p010
1.4,1.442,0.51282,0.0084155,p011
1.419,1.2655,1.4715,0.0071189,p012
1.0083,1.2902,1.0212,0.00016682,p013
1.8579,1.4962,0.82452,0.0019682,p014
1.3301,1.4113,1.2244,0.0027277,p015
1.8779,0.92536,1.0712,0.00040246,p016
1.7243,0.61617,0.79074,0.0056598,p017
1.9617,0.95656,0.91921,0.0063372,p018
1.2224,1.3469,0.76135,0.0053746,p019
1.3499,1.4539,0.78633,0.00037516,p020
0.91983,0.97332,0.86944,0.0069622,p021
1.7313,0.60787,1.4176,0.00087965,p022
1.448,1.0191,0.75166,0.0089908,p023
0.93149,1.1058,0.54767,0.0011727,p024
0.95954,0.86754,0.74789,0.0049533,p025
0.87901,1.4349,1.4624,0.0059246,p026
1.0293,0.67703,1.4021,0.0014462,p027
1.4446,1.3514,1.0645,0.0046363,p028
0.60989,0.64803,0.84386,0.0093072,p029
1.7984,0.51674,1.2774,0.0040076,p030
1.3971,1.0366,1.1472,0.00049744,p031
1.2688,1.1171,1.3012,0.00062985,p032
1.257,0.76298,0.99686,0.0090974,p033
1.0101,1.002,0.97033,0.0069102,p034
1.8155,1.244,1.3134,0.0099674,p035
0.7539,0.54308,0.93071,0.0055762,p036
1.6951,0.68097,1.1627,0.0072102,p037
1.1133,1.1367,0.83634,0.0041306,p038
1.7508,0.80105,0.58878,0.0088005,p039
1.5621,0.5347,0.85923,0.00020298,p040
1.2053,1.3819,1.0899,0.0060891,p041
1.504,0.85101,1.0515,0.0081731,p042
0.57675,1.3705,1.4378,0.0078614,p043
0.52493,0.8931,0.87568,0.0084652,p044
0.69375,0.63294,0.61224,0.0074626,p045
1.1452,1.2384,0.63131,0.0066383,p046
1.1367,0.58153,1.2335,0.0061706,p047
1.8202,0.90568,1.4874,0.0031874,p048
0.66314,0.72587,0.62606,0.0022596,p049
1.9876,1.1524,0.57929,0.0034909,p050
1.5674,0.96202,1.0302,0.0009916,p051
0.60407,0.77485,0.68548,0.0044489,p052
1.923,1.3952,1.2689,0.0012536,p053
0.82632,0.99248,1.3445,0.0096366,p054
0.849,0.66281,0.80777,0.0059731,p055
0.87443,0.69046,1.1144,0.0029109,p056
1.6715,1.0995,0.7147,0.0025388,p057
1.9774,0.70746,1.4918,0.0052535,p058
1.1933,0.88173,1.127,0.0017241,p059
1.7125,0.94246,0.67787,0.0023867,p060
1.0505,1.3674,0.69843,0.0028567,p061
1.0662,0.6213,1.189,0.0078057,p062
0.77873,1.1933,1.1002,0.0038271,p063
1.9007,0.7442,0.94634,0.0055096,p064
0.8919,1.0677,0.98165,0.0021657,p065
1.6401,1.2764,0.96378,0.0047776,p066
1.9391,1.3235,1.2519,0.0035761,p067
1.7848,1.3092,1.3314,0.0032938,p068
1.7734,1.0726,0.56082,0.0088211,p069
0.56439,0.79838,0.77677,0.0074009,p070
0.54813,0.52256,0.90496,0.0077223,p071
1.8874,0.78051,1.0958,0.0080506,p072
1.5076,1.2891,1.3885,0.0031138,p073
0.70323,1.214,0.50107,0.0063159,p074
0.93589,0.56183,0.92539,0.0048863,p075
1.668,0.83351,0.55279,0.0042727,p076
0.7222,1.2229,1.046,0.0015242,p077
1.0895,0.82025,1.4463,0.0013567,p078
1.5825,1.3103,0.73797,0.0039232,p079
0.80796,1.4601,0.95824,0.0050872,p080
0.97809,1.4819,1.3552,0.00070211,p081
1.6163,1.0281,1.1557,0.0051937,p082
1.3592,1.1838,0.72372,0.0042482,p083
1.2913,0.84705,0.60688,0.0097278,p084
1.3006,0.71271,0.81295,0.001993,p085
0.83422,1.0429,0.52876,0.0033831,p086
1.4635,0.57699,1.2139,0.0015854,p087
0.67268,0.87188,0.53751,0.0018395,p088
1.0748,0.65468,0.6407,0.0047404,p089
1.5266,1.4247,1.016,0.00095046,p090
1.8477,1.1416,1.3929,0.0095676,p091
1.6341,0.73911,0.89932,0.0094943,p092
1.5362,1.0871,1.2919,0.0065526,p093
1.1786,0.98747,0.59096,0.0091717,p094
1.4851,0.50344,0.66755,0.0030035,p095
1.599,1.4008,1.4268,0.0045258,p096
1.246,0.75511,1.3624,0.003715,p097
0.62467,1.129,1.173,0.0076108,p098
0.53669,1.0526,1.4571,0.0072353,p099
0.50904,0.59376,1.0097,0.0079276,p100
