wind_speed,swr,Kw,turb_param/k_min,par_id
0.90792,0.88989,1.275,1.3746e-05,p001
1.5815,0.84147,1.3855,3.0843e-05,p002
1.1457,0.79775,0.96398,1.0397e-05,p003
1.3596,0.80568,1.145,0.00015858,p004
0.5494,1.4322,0.9237,0.00017454,p005
0.52757,0.92131,1.4004,9.1662e-06,p006
0.9523,0.97351,1.3432,0.00040788,p007
1.0335,0.73744,1.0219,1.2372e-05,p008
1.9488,1.4561,0.67814,0.00019881,p009
0.89363,1.2693,0.95251,2.0941e-05,p010
1.313,1.0702,1.4901,1.9761e-05,p011
1.9773,0.62548,1.2593,1.3889e-05,p012
1.0478,1.2289,1.0865,0.00012175,p013
1.0887,1.1345,0.7433,4.455e-05,p014
1.3892,1.4178,0.77325,6.5193e-05,p015
1.2657,1.2544,1.1139,7.0965e-05,p016
0.54424,0.8247,0.93634,0.00011263,p017
1.6212,0.67182,0.80056,3.3597e-05,p018
1.8076,1.287,1.264,0.00031525,p019
0.57868,0.51787,0.66098,6.6165e-05,p020
1.1711,1.2184,0.73846,0.00012905,p021
1.417,1.129,0.63835,0.00015202,p022
1.3299,1.0102,0.79647,9.0018e-05,p023
0.61131,1.3263,0.99643,9.7518e-06,p024
1.5616,1.3616,0.59865,1.1978e-05,p025
1.9046,1.3538,0.68249,8.0472e-06,p026
0.6702,1.0619,1.1911,0.0002377,p027
0.81384,1.0014,0.55261,0.00014271,p028
1.4939,1.4608,1.0309,1.1169e-05,p029
1.8926,0.66677,1.2875,0.00047757,p030
1.2988,1.205,1.0099,8.0029e-05,p031
1.9258,1.1058,1.3031,6.1686e-05,p032
1.7137,0.87854,1.4544,2.2455e-05,p033
1.181,0.74107,0.78787,0.00024917,p034
0.69774,0.90539,1.0935,0.00010223,p035
0.82026,0.59279,0.65148,0.00038744,p036
1.6894,0.57602,0.81386,5.2679e-06,p037
0.65037,1.4463,0.50694,6.8491e-06,p038
1.9104,0.91797,1.4162,9.1809e-05,p039
1.0102,0.53824,0.97375,4.146e-05,p040
1.5378,0.76519,0.70082,6.1586e-06,p041
0.85715,1.3857,0.91452,0.00020889,p042
1.9906,0.68372,0.88901,6.9136e-06,p043
1.7856,0.65688,0.94251,5.112e-06,p044
1.2241,1.0329,0.84121,0.00042102,p045
1.2094,1.2488,0.76162,0.00022531,p046
1.0055,1.3739,0.71004,2.382e-05,p047
1.6278,1.2375,1.3957,8.9094e-06,p048
0.50702,1.1707,1.1687,2.9858e-05,p049
1.572,1.166,0.5359,5.8028e-05,p050
0.87738,0.83288,1.2463,4.7872e-05,p051
0.60366,1.0893,1.0689,0.00032256,p052
1.7556,0.63187,0.69177,8.5801e-05,p053
1.2462,0.86096,1.1763,0.00045255,p054
1.4352,0.94755,1.3633,2.8168e-05,p055
0.63613,0.71678,1.137,7.7106e-06,p056
1.4827,1.0924,0.62515,3.5884e-05,p057
1.6535,1.293,0.87866,1.533e-05,p058
1.5988,1.4771,1.4407,0.00047517,p059
0.79064,0.72974,0.64066,2.5526e-05,p060
0.57179,0.78171,0.57646,0.00037414,p061
1.191,0.70365,1.2229,1.8723e-05,p062
0.94777,0.54202,1.1299,4.5987e-05,p063
1.6681,0.58177,0.98025,3.2572e-05,p064
1.853,1.4228,1.4771,0.00010631,p065
1.9668,0.56284,0.83434,0.00027644,p066
1.8458,0.85821,0.86425,1.685e-05,p067
0.74825,0.93229,0.90426,0.00011689,p068
1.6757,1.4088,0.72273,3.7668e-05,p069
1.0689,1.3948,1.2942,1.4457e-05,p070
1.8025,0.50241,1.1527,2.0271e-05,p071
1.8718,0.69499,0.5809,8.4248e-06,p072
1.1379,1.318,1.4316,0.00029038,p073
1.1074,0.98261,0.52494,0.00016968,p074
0.76821,1.3379,1.3258,0.00020143,p075
1.7609,1.1986,0.60618,1.0749e-05,p076
1.0841,0.52628,1.4693,0.00026654,p077
0.97469,1.3486,1.3713,0.00033536,p078
1.7234,0.64171,0.6145,0.00013209,p079
0.98977,1.1483,0.51969,1.5836e-05,p080
1.8205,1.0467,1.0796,5.4953e-05,p081
1.1239,0.5546,1.3538,2.4006e-05,p082
1.3524,0.95009,1.332,7.8344e-05,p083
1.3819,0.75629,1.2332,7.4379e-06,p084
1.5084,0.81597,0.56062,5.1942e-05,p085
0.68278,1.4813,1.3196,9.7205e-05,p086
0.92208,1.1117,1.4226,6.4001e-06,p087
1.4111,0.6163,1.4894,7.5554e-05,p088
1.4622,0.99589,1.0515,5.4171e-05,p089
0.71199,1.159,1.0418,1.2952e-05,p090
1.5285,1.2776,0.7575,4.2273e-05,p091
1.7427,0.89456,1.2162,3.8479e-05,p092
1.2817,1.4971,1.0197,0.00014468,p093
0.86564,1.3086,0.54344,2.6733e-05,p094
0.77408,1.0247,0.8584,1.8021e-05,p095
0.62576,0.96681,1.1063,0.00025894,p096
1.2523,0.77933,0.82209,0.00018814,p097
0.83666,1.1864,0.89296,0.00035191,p098
0.72575,1.0582,1.1893,5.8656e-06,p099
1.4587,0.60277,1.2061,5.6392e-06,p100
