wind_speed,swr,Kw,turb_param/k_min,par_id
2.8306,4.1094,9.2658,0.41055,p0001
3.9802,6.6064,8.0352,2.9292e-08,p0002
4.3142,6.4793,0.4999,0.019243,p0003
1.0651,1.8929,4.4393,0.00036149,p0004
7.9047,8.0299,0.38133,3.1955e-09,p0005
1.1778,9.2561,1.1364,1.4038e-08,p0006
6.6294,8.6477,8.1448,1.0402e-08,p0007
2.891,7.1676,9.354,5.208e-09,p0008
9.4561,2.8198,0.61564,7.5889e-05,p0009
2.4893,9.0025,9.919,5.9577e-07,p0010
0.13958,9.7284,4.8795,0.041342,p0011
0.79077,0.96987,5.02,3.786e-06,p0012
2.4357,8.7659,6.7125,0.0026363,p0013
8.8757,5.0335,8.8603,1.9747e-09,p0014
0.43172,4.3585,4.1812,1.2825e-08,p0015
7.4555,6.1615,3.1296,7.0844e-06,p0016
3.4419,1.0102,5.8012,0.33316,p0017
6.2717,3.6141,1.2105,0.0017758,p0018
9.962,3.8794,9.2363,2.7527e-06,p0019
1.5609,9.3327,9.1235,4.0079e-07,p0020
3.3453,1.7819,8.3654,4.2084e-09,p0021
8.4273,5.5339,0.077508,3.9362e-05,p0022
0.46521,0.026797,9.0014,0.020754,p0023
0.48044,2.8513,9.4605,0.12158,p0024
9.1624,0.60465,2.1079,0.075856,p0025
8.715,3.0685,9.6163,7.2001e-10,p0026
5.8899,1.1149,1.2838,0.0035241,p0027
8.2785,6.6028,5.4124,0.00015531,p0028
5.0372,4.3286,7.9594,0.0055265,p0029
5.0575,7.6731,3.8159,2.8164e-05,p0030
5.9804,0.89882,9.8026,2.3201e-08,p0031
4.3054,6.6418,5.8527,2.4299e-08,p0032
9.7388,5.7549,5.3777,1.1327e-08,p0033
6.7728,4.2151,7.7448,5.6354e-06,p0034
0.18001,5.8177,2.3414,0.15594,p0035
8.5068,7.2415,9.1504,0.0044552,p0036
8.4782,1.8776,2.0063,0.011257,p0037
9.4026,9.5056,3.5688,6.4205e-07,p0038
7.6614,8.4328,1.4119,2.4095e-07,p0039
6.5644,7.346,2.5921,0.00050478,p0040
5.8416,7.3942,5.6039,2.2393e-06,p0041
3.2416,2.1578,5.73,2.3693e-05,p0042
1.5832,6.2559,3.4461,0.043382,p0043
8.452,1.4567,6.3661,1.7308e-05,p0044
4.4839,6.9915,2.4749,0.00063182,p0045
9.6223,9.554,4.9873,0.011545,p0046
4.1018,0.14333,1.2577,0.00051773,p0047
6.1472,6.0868,5.7721,5.6232e-05,p0048
3.8241,5.6074,4.7535,7.2121e-06,p0049
3.5843,3.9468,1.7844,0.0023653,p0050
6.6901,7.2,3.2952,0.00014019,p0051
7.8819,7.6834,5.9522,0.00080649,p0052
1.2916,4.5098,5.6117,3.7048e-06,p0053
7.9488,4.8513,0.3432,0.0014325,p0054
4.5985,6.8366,5.2802,3.3237e-05,p0055
6.5498,0.74366,4.4057,3.6017e-05,p0056
0.81279,6.2114,4.2021,0.06775,p0057
4.0839,4.7185,4.835,0.012231,p0058
3.5067,6.4518,7.6997,4.1004e-06,p0059
1.78,8.4438,3.8617,4.3967e-08,p0060
0.16637,4.1924,6.0962,6.5148e-08,p0061
2.5111,1.14,2.7591,0.03774,p0062
2.0878,6.2273,3.0329,7.782e-09,p0063
0.77344,1.8505,3.6235,1.9729e-06,p0064
7.7411,0.24821,8.8689,0.46821,p0065
2.5628,9.7691,2.0762,1.2692e-09,p0066
2.0394,1.4402,1.5959,3.7413e-08,p0067
2.7467,9.1214,7.5006,9.3105e-05,p0068
9.8118,3.1551,5.712,2.7874e-08,p0069
8.3831,8.337,2.3649,8.1628e-08,p0070
4.8698,5.5725,6.0041,6.1742e-06,p0071
0.090187,1.0627,4.8623,8.3262e-08,p0072
2.0642,2.7305,3.4473,9.0907e-10,p0073
4.6197,2.5533,4.2345,0.028964,p0074
3.0776,4.6752,6.8533,1.8433e-06,p0075
5.2723,0.43959,3.2158,0.22591,p0076
9.3992,6.1269,7.3109,1.5932e-09,p0077
6.3472,8.6846,2.5343,0.061492,p0078
3.9942,8.7978,6.2643,0.014804,p0079
6.1265,1.1714,8.2457,1.6922e-05,p0080
8.164,5.217,3.277,5.0159e-09,p0081
7.0273,4.8427,3.3275,0.050892,p0082
