wind_speed,swr,Kw,a_seiche,par_id
1.2287,1.2836,0.85768,0.0021,p001
0.88808,1.3839,0.93739,0.002958,p002
1.5821,0.9719,0.61793,0.00085127,p003
1.1427,0.59801,0.82672,0.0013778,p004
1.8646,0.7461,1.3119,0.0020736,p005
1.1137,1.3959,0.65735,0.0026687,p006
1.6955,0.66303,0.68742,0.0011637,p007
0.58544,0.77472,1.448,0.0020276,p008
1.6791,1.3784,1.4076,0.002888,p009
0.53152,1.1759,1.1176,0.0018987,p010
0.61659,1.4424,1.2848,0.00096443,p011
0.83196,0.68088,0.8605,0.0023979,p012
1.7473,1.3696,1.3442,0.0026001,p013
1.5248,1.0861,0.59891,0.0024269,p014
0.82169,0.53535,0.90118,0.0013025,p015
1.0816,1.1957,0.89305,0.0029106,p016
0.51204,1.2508,0.9781,0.0014545,p017
0.67598,1.1229,1.2168,0.0027537,p018
1.7998,0.51217,0.88992,0.0029275,p019
1.0353,0.5763,0.78084,0.00089778,p020
0.91692,1.1339,1.3383,0.0010798,p021
1.6466,0.85493,1.189,0.0022772,p022
1.8248,1.4517,0.81933,0.0023018,p023
1.984,1.0077,0.95174,0.0023504,p024
1.9449,0.72251,0.56503,0.0016087,p025
1.7721,0.65517,1.2311,0.0010586,p026
1.4909,1.222,0.54739,0.001182,p027
1.0177,0.9387,1.4899,0.0022391,p028
1.6035,0.50829,1.0397,0.0024633,p029
1.9048,1.0358,0.76167,0.0011501,p030
0.55019,1.3399,0.98932,0.0015722,p031
1.7397,1.0737,1.1906,0.0018368,p032
0.63153,0.56054,0.94144,0.0014332,p033
1.2092,0.58568,0.66865,0.0029943,p034
0.70353,0.61719,0.50106,0.0012324,p035
1.3004,0.92504,0.83102,0.0028185,p036
0.60209,1.0135,1.0119,0.00099997,p037
1.3473,1.2961,1.3925,0.0013093,p038
1.48,0.7873,1.3504,0.0027956,p039
1.166,0.60053,0.87079,0.0016276,p040
1.4637,0.64719,0.80207,0.0024369,p041
1.1874,0.70668,1.2038,0.0013413,p042
1.7095,0.84309,1.0894,0.0010293,p043
0.85765,0.63908,0.70808,0.0016757,p044
0.51608,0.83909,1.1648,0.0020486,p045
0.65079,0.89413,0.60756,0.0009451,p046
1.3934,1.0671,1.471,0.0025642,p047
0.7267,0.76673,1.0726,0.0027298,p048
1.4506,0.82896,0.77072,0.001118,p049
1.8141,1.045,0.69152,0.0018075,p050
0.93673,0.98381,1.3071,0.0013501,p051
0.9823,0.62783,1.1421,0.0017079,p052
0.74716,1.4708,0.51088,0.0019634,p053
1.2808,0.86479,1.3269,0.0026376,p054
1.3245,0.90591,1.0094,0.0026115,p055
0.95308,0.69015,1.0675,0.001545,p056
0.7673,0.87145,0.91563,0.0012537,p057
1.3841,1.0558,0.63061,0.0019099,p058
0.64351,0.67256,1.4989,0.0018155,p059
1.888,1.4115,0.52355,0.00083657,p060
1.9656,1.1654,1.2942,0.0021638,p061
1.4289,1.1567,1.0423,0.002188,p062
1.4383,1.4964,1.2217,0.0022124,p063
1.8776,1.3233,0.79711,0.0014989,p064
1.4136,1.3489,0.74057,0.002706,p065
0.97211,1.026,1.2749,0.0024779,p066
1.9272,0.80998,1.1227,0.0025004,p067
1.2564,1.305,0.53026,0.0020975,p068
0.92957,0.91583,1.1733,0.00087318,p069
1.6682,1.3103,1.3689,0.0022643,p070
1.5458,1.0917,1.0276,0.0017857,p071
0.71727,0.7305,0.583,0.0017515,p072
1.2473,0.71689,1.1331,0.0014703,p073
0.89037,1.4282,1.384,0.00080014,p074
1.0591,1.2063,0.75499,0.0019814,p075
1.7854,0.52037,1.1504,0.0023384,p076
1.0986,0.79964,1.2537,0.0020028,p077
0.69329,1.4346,0.96746,0.0015236,p078
1.998,1.2104,1.1086,0.0012044,p079
1.5539,1.1072,1.2492,0.00099376,p080
0.78232,0.99596,1.4123,0.0025385,p081
1.3555,0.95993,0.9988,0.0021406,p082
1.0011,1.2718,0.62448,0.0023646,p083
1.6256,1.2695,1.3786,0.0016506,p084
1.0469,0.55725,0.71063,0.0011062,p085
1.2777,0.81341,1.4256,0.0029343,p086
0.79715,1.3558,0.72222,0.0028339,p087
0.81409,0.96103,0.55644,0.0012624,p088
0.87376,1.4694,1.0562,0.0028653,p089
1.6242,1.2459,0.6719,0.0021679,p090
1.7171,1.2386,0.7385,0.0019256,p091
1.3343,0.94224,0.64771,0.0025366,p092
0.56054,1.4031,1.4393,0.001413,p093
1.1158,0.75183,0.8432,0.0009266,p094
1.5704,1.1819,1.4691,0.0015539,p095
1.914,1.1465,0.57977,0.0026912,p096
1.8454,0.88449,0.92186,0.0027602,p097
1.5098,0.54654,1.2672,0.0018669,p098
1.1926,1.1158,1.458,0.0017288,p099
1.1473,1.4873,1.0918,0.0016984,p100
