wind_speed,swr,Kw,a_seiche,par_id
5.4448,6.5485,3.6209,0.0054557,p0001
7.1376,3.915,7.4129,0.0047303,p0002
1.3174,3.281,6.0435,0.0055402,p0003
8.8818,8.2661,9.9313,0.0065285,p0004
5.9713,8.7182,0.17026,0.0066457,p0005
9.8704,6.408,0.84162,0.0083209,p0006
3.3949,1.7067,1.3476,0.0061898,p0007
5.7135,3.1549,7.7298,0.006562,p0008
6.7266,4.1215,4.271,0.0024662,p0009
7.275,3.6617,1.5055,0.0073531,p0010
0.82157,3.5868,2.0374,0.0052591,p0011
5.4355,4.5023,6.4031,0.0072963,p0012
8.7041,8.8307,0.78222,0.005073,p0013
4.3283,9.6686,6.3269,0.0022402,p0014
0.84018,1.7647,6.8937,0.0039461,p0015
0.58127,2.6304,9.0696,0.0072041,p0016
5.2133,0.46725,2.9077,0.0042859,p0017
4.828,4.0955,9.4789,0.0056126,p0018
5.8046,1.4622,1.5828,0.0049081,p0019
4.8744,1.5348,0.74999,0.00087146,p0020
8.8236,4.452,7.989,0.0042412,p0021
1.8157,3.2546,9.6956,0.0097377,p0022
8.1269,6.3745,0.35626,0.0052991,p0023
2.6049,4.0707,3.1516,0.0082711,p0024
9.1688,6.3891,2.6322,0.002267,p0025
9.387,5.5588,4.3757,0.0086741,p0026
7.2236,1.3484,2.5158,0.0027795,p0027
6.5912,8.6779,1.4615,0.007084,p0028
0.89148,7.5791,7.0325,0.0047888,p0029
6.3401,1.5083,1.274,0.0074668,p0030
1.3468,2.5913,4.2581,0.0014505,p0031
2.6533,2.5099,5.3789,0.0087201,p0032
6.0602,1.6414,5.8855,0.0027107,p0033
1.8325,6.8197,0.13041,0.0072414,p0034
2.7363,6.4962,0.052613,0.008882,p0035
2.4722,7.603,8.6101,0.0087898,p0036
3.1512,2.7548,3.9844,0.0065773,p0037
6.9908,2.2741,1.3535,0.0095999,p0038
4.7823,9.6274,5.7075,0.0056756,p0039
2.2295,3.0058,7.0567,0.0079585,p0040
7.9766,2.018,0.85734,0.0083229,p0041
4.9712,3.6298,2.0778,0.004364,p0042
9.9469,2.2196,2.1134,0.00082104,p0043
2.7519,5.5047,5.7936,0.0058399,p0044
1.6565,2.5432,1.7294,0.0015628,p0045
5.5087,4.1812,9.6565,0.00089023,p0046
6.8049,6.2055,6.3062,0.0095496,p0047
6.1992,6.78,7.5107,0.0086582,p0048
6.1102,9.3794,6.2459,0.0081195,p0049
8.3383,9.1551,8.9733,0.00049888,p0050
8.265,0.05299,0.23955,1.555e-05,p0051
6.0356,2.4926,4.0926,0.00754,p0052
1.063,0.75669,9.0872,0.0057158,p0053
0.60205,8.3095,0.98042,0.0089582,p0054
7.9956,6.6977,8.7702,0.0030748,p0055
8.4127,4.3037,1.4424,0.0065947,p0056
7.6783,9.1288,9.8044,0.003672,p0057
8.5451,7.4417,2.2183,0.0076842,p0058
4.7584,8.3962,5.7725,0.0092142,p0059
5.798,6.313,2.7947,0.002296,p0060
8.2893,3.4786,8.8592,0.006497,p0061
0.88696,1.3276,0.26511,0.0068627,p0062
4.2319,7.7303,7.2743,0.0050573,p0063
9.7518,3.3922,8.2552,0.0051588,p0064
7.5331,3.0835,2.2979,0.0015229,p0065
5.5914,4.6461,8.1093,0.0099908,p0066
3.334,6.5703,8.5704,0.0013721,p0067
3.1983,9.6194,6.5677,0.0066338,p0068
7.8267,7.1109,9.5499,0.0018066,p0069
1.7026,4.1463,0.92424,0.0016075,p0070
4.6137,4.8555,0.49145,0.00054259,p0071
0.36254,1.6053,0.93567,0.0073768,p0072
3.5024,4.8364,0.34034,0.0035246,p0073
5.7615,0.39828,9.6665,0.0050036,p0074
7.8023,4.766,0.87602,0.0023839,p0075
9.4993,3.1241,5.7271,0.003165,p0076
2.6815,1.7476,1.4153,0.0061593,p0077
4.5102,1.1442,7.3109,0.0040876,p0078
5.9034,3.555,6.056,0.0095226,p0079
0.50402,3.9418,6.5613,0.00044514,p0080
6.3781,9.0078,9.8312,0.0049629,p0081
0.17626,2.8268,1.9932,0.0021809,p0082
9.4602,9.2591,0.81175,0.0034208,p0083
7.0618,2.07,7.4576,0.00035184,p0084
5.6428,9.7136,1.3959,0.0022266,p0085
8.4915,7.796,4.9015,0.0090449,p0086
5.9982,2.9512,0.58366,0.0029174,p0087
0.70166,6.6573,3.6371,0.0048464,p0088
9.2854,7.5045,2.5475,0.0090739,p0089
0.97812,2.8061,6.6195,0.0046116,p0090
7.1044,3.3778,3.5554,0.0041682,p0091
6.9711,9.2065,8.075,0.0068971,p0092
3.3709,7.0958,7.8076,0.0064378,p0093
0.75112,9.864,0.38543,0.0017585,p0094
3.518,3.6867,6.381,0.0059385,p0095
9.9675,0.97763,5.2815,0.003614,p0096
3.9236,4.733,8.5937,0.0041602,p0097
8.4748,4.5219,6.8369,0.0080551,p0098
1.1397,4.4406,5.6187,0.0040064,p0099
8.3872,6.0145,0.45344,0.009916,p0100
5.8774,5.4884,4.7536,0.0059633,p0101
4.9592,4.7616,0.79649,0.0094662,p0102
7.5755,2.2566,4.9341,0.0015792,p0103
7.5954,7.0732,3.6568,0.0057875,p0104
4.9222,8.0319,0.68948,0.0076127,p0105
7.3599,6.4599,6.9279,0.0021218,p0106
8.9471,1.9751,3.9596,0.0098059,p0107
1.7336,7.5462,6.2225,0.0013088,p0108
5.0082,7.6259,9.1729,0.0011461,p0109
2.9584,6.3579,5.4431,0.0083742,p0110
2.1547,0.37043,2.8475,0.0010405,p0111
5.3077,6.7312,7.226,0.0018872,p0112
8.3754,5.0691,0.56671,0.0077562,p0113
9.1837,3.4486,1.0455,0.0053275,p0114
6.5726,1.2113,2.6717,0.0001711,p0115
3.5905,3.7192,4.5949,0.002969,p0116
5.3374,3.4128,7.1172,0.0089966,p0117
8.3203,2.2027,1.0666,0.0089196,p0118
1.2283,0.53368,9.8444,0.0062207,p0119
8.6069,4.2172,0.59947,0.0081721,p0120
0.033908,8.8433,4.1088,0.00032332,p0121
8.9367,3.5028,6.9214,0.0049284,p0122
2.3035,7.2773,8.6781,0.0083986,p0123
7.3,0.61644,6.6937,0.0067709,p0124
4.5808,3.9515,4.8386,0.0012238,p0125
4.3887,0.22902,6.3507,0.0053678,p0126
2.6937,3.0493,8.9522,0.0077165,p0127
3.6573,8.6913,0.64779,0.0075916,p0128
6.4114,7.0606,3.9384,0.003924,p0129
2.7789,6.9227,4.4564,0.0016284,p0130
6.6488,6.3425,2.2297,0.0073212,p0131
8.0935,4.798,7.4914,0.0070812,p0132
2.4475,7.3749,0.48485,0.0024817,p0133
1.7628,3.0157,0.90809,0.0066688,p0134
4.2947,7.4578,0.28098,0.0036473,p0135
4.9938,3.3185,4.0538,0.0018935,p0136
5.6187,8.0774,0.31652,0.0062379,p0137
5.3989,8.2304,4.4152,0.009655,p0138
4.6295,9.2622,4.7205,0.0068292,p0139
0.96344,8.1922,1.8309,0.00024181,p0140
7.2134,7.1536,2.8708,0.0062712,p0141
7.7833,7.4772,5.0269,0.0044216,p0142
2.1148,0.70072,5.6628,0.0098473,p0143
8.1085,0.92825,0.12755,0.001121,p0144
2.6455,7.3027,4.9664,0.0013082,p0145
8.7309,5.9921,7.3344,0.0054922,p0146
9.675,7.1879,8.7057,0.0089741,p0147
9.7088,9.8394,5.8351,0.0051102,p0148
6.4461,6.7135,7.1452,0.0030972,p0149
1.203,0.43697,5.946,0.00063436,p0150
9.3021,1.8835,8.0189,0.00019707,p0151
3.6747,1.9967,9.9148,0.0063652,p0152
7.1806,8.5753,5.5136,0.0085177,p0153
7.7251,3.2945,2.3335,0.0069895,p0154
5.6753,8.7659,8.2326,0.0021649,p0155
1.1171,5.0155,2.2836,0.0087608,p0156
3.8643,8.3362,6.4688,0.0063498,p0157
3.4156,5.2787,6.7881,0.008879,p0158
3.4328,0.42044,2.1746,0.0069787,p0159
5.1322,6.1392,9.3765,0.0048959,p0160
8.0396,5.1555,6.2738,0.0079173,p0161
9.4367,4.3443,1.0099,0.00069162,p0162
0.48746,8.9606,9.2296,0.0035638,p0163
4.3137,1.0791,3.1397,0.0078718,p0164
2.4263,8.9663,7.9564,0.0021972,p0165
6.2923,3.6078,4.2294,0.00011604,p0166
0.68456,9.5977,5.4779,0.0010762,p0167
4.7372,3.5121,4.7716,0.0080924,p0168
5.8641,8.9266,8.4765,0.0009708,p0169
1.9003,4.9548,5.9744,0.0020007,p0170
8.2176,6.6418,2.2551,0.004628,p0171
6.272,0.72183,9.7054,0.0097792,p0172
1.2508,7.976,3.328,0.0074422,p0173
9.4137,2.9108,0.026983,0.0022796,p0174
3.5823,4.6809,1.9489,0.0015387,p0175
3.6106,5.2116,3.8587,0.0064518,p0176
2.8695,1.3537,0.20691,0.00061097,p0177
0.42494,5.8269,8.2118,0.0050887,p0178
0.79512,0.29045,3.8071,0.0047097,p0179
2.4061,8.1786,7.9627,0.0086231,p0180
9.8249,7.0416,2.9634,0.0083455,p0181
8.7544,7.5364,3.4595,0.0084669,p0182
5.3552,1.549,2.15,0.0026937,p0183
4.2793,8.9156,6.6656,0.0055133,p0184
6.9558,2.3378,7.3979,0.0045503,p0185
4.0746,1.0268,9.1601,0.0017875,p0186
0.46751,9.5389,0.6734,0.0056556,p0187
4.4917,7.8312,5.758,0.001983,p0188
1.0038,9.5522,8.9838,0.0028295,p0189
9.5477,7.3365,4.4689,0.0024929,p0190
8.5338,2.9383,7.6508,0.00093442,p0191
4.6943,0.60789,6.2009,0.0047052,p0192
4.5347,2.13,6.8733,0.0065138,p0193
6.6143,7.4871,7.58,0.0040302,p0194
0.66785,4.587,9.7699,0.0078113,p0195
6.8245,8.6251,8.1576,0.0075138,p0196
8.1657,4.3469,9.9666,0.0017258,p0197
9.0196,7.7118,5.9244,0.0021009,p0198
1.0774,9.9332,5.3342,0.0035411,p0199
5.4897,7.77,9.3533,0.0096739,p0200
7.7535,5.655,2.1921,0.0099781,p0201
0.22146,3.7816,5.1738,0.0016656,p0202
1.1855,6.9028,5.3552,0.0085589,p0203
3.0145,2.8951,3.7317,0.0059149,p0204
4.5546,6.926,9.8748,0.0045895,p0205
6.1483,7.2396,4.9123,0.0011796,p0206
4.8172,4.6299,3.0471,0.0060359,p0207
4.6007,5.1394,1.9429,0.0015065,p0208
5.6996,5.6963,9.521,0.0030616,p0209
8.5979,6.0633,7.6856,0.0063156,p0210
4.0403,2.769,8.9125,0.0079016,p0211
3.1679,7.7455,0.21813,0.0071102,p0212
1.4208,4.7066,8.6907,0.007578,p0213
3.8104,6.111,7.8784,0.0091743,p0214
7.4439,9.8958,5.8217,0.0079798,p0215
8.258,3.8141,3.4724,0.0010521,p0216
4.1581,0.017508,3.1822,0.0093222,p0217
9.7764,4.9208,5.2526,0.0028479,p0218
8.1429,3.0337,1.5675,0.0048789,p0219
4.0981,7.984,7.6773,0.0099404,p0220
2.1352,4.4727,1.2319,0.0068045,p0221
3.281,5.0377,6.2334,0.00078019,p0222
9.1267,2.3873,8.3753,0.002424,p0223
2.0401,7.2499,3.4304,0.0020879,p0224
